Team,Player,Age,Matches,Cmp%,Progressive Paces,Progressive Carries,Tackles+Interception,Blocks,Aerial Won,Fouls Commited,Dangerous Fouls,Errors,Rating
RB Leipzig,Castello Lukeba,21.0,17.6,85.1,4.5,1.0,2.7,1.6,1.5,0.7,2,0,61
Internazionale,Benjamin Pavard,28.0,17.6,91.3,5.2,0.7,2.6,0.9,2.3,1.0,4,0,61
Milan,Emerson,25.0,15.4,86.2,4.4,1.5,3.8,0.8,1.6,2.2,5,0,61
Reims,Emmanuel Agbadou,27.0,14.0,87.9,5.5,0.7,3.1,1.6,1.3,0.9,3,1,61
Monchengladbach,Nico Elvedi,27.0,23.7,92.0,2.3,0.8,2.9,1.5,1.9,0.4,1,0,61
Celta Vigo,Carlos Dominguez,23.0,13.1,88.5,5.0,1.1,2.7,1.2,2.1,0.6,1,1,61
Wolverhampton Wanderers,Santiago Bueno,25.0,18.8,88.0,1.5,0.1,3.0,1.9,1.9,1.4,2,0,61
Tottenham Hotspur,Cristian Romero,26.0,15.8,89.5,4.5,0.8,3.5,1.1,2.6,0.9,3,2,61
Real Madrid,Aurélien Tchouaméni,24.0,29.9,92.3,5.2,0.6,3.1,1.1,2.5,0.9,8,1,61
Crystal Palace,Daniel Muñoz,28.0,35.9,75.7,2.7,1.7,4.7,1.1,1.6,1.6,10,1,61
Brest,Julien Le Cardinal,26.0,15.3,86.4,2.5,0.5,3.9,1.2,1.9,0.8,6,0,61
Newcastle United,Kieran Trippier,33.0,14.7,82.5,8.0,1.8,3.4,0.7,1.5,1.1,1,0,61
Manchester United,Leny Yoro,18.0,13.0,92.4,4.0,1.5,3.6,0.4,1.2,0.7,5,0,60
Beerschot Wilrijk,Colin Dagba,25.0,15.3,81.8,2.7,1.0,4.5,1.4,0.2,0.7,7,0,60
Napoli,Juan Jesus,33.0,12.0,89.6,4.2,0.2,2.8,1.2,2.0,1.2,2,0,60
Gent,Matisse Samoise,22.0,13.9,75.9,4.7,2.9,5.3,1.4,0.7,3.3,9,2,60
Union SG,Fedde Leysen,21.0,17.4,83.3,6.6,0.7,3.4,0.9,2.2,1.0,4,1,60
Las Palmas,Álex Muñoz,30.0,15.8,79.7,2.8,0.9,3.5,1.8,1.5,1.9,6,0,60
Strasbourg,Guela Doué,21.0,30.2,83.4,5.7,1.7,3.3,1.3,1.9,1.4,10,1,60
Monaco,Mohammed Salisu,25.0,11.4,85.4,6.0,0.7,3.9,0.9,3.1,0.8,2,2,60
West Ham United,Aaron Wan-Bissaka,26.0,35.1,81.1,4.2,3.1,3.9,1.1,0.6,0.7,1,0,60
Rennes,Christopher Wooh,22.0,16.2,87.1,3.6,0.9,3.6,1.4,2.6,2.0,14,0,60
Rennes,Hans Hateboer,30.0,18.8,85.3,4.9,1.5,3.2,1.0,2.2,1.1,3,2,60
Augsburg,Chrislain Matsima,22.0,28.4,86.0,3.0,0.5,2.9,1.7,2.4,0.4,7,0,60
RB Leipzig,El Chadaille Bitshiabu,19.0,12.6,84.4,5.5,0.3,3.2,2.0,1.7,0.6,7,2,60
Bayer Leverkusen,Piero Hincapié,22.0,29.7,87.9,5.1,1.8,2.8,1.3,2.2,0.9,8,1,60
Stuttgart,Ramon Hendriks,23.0,12.8,83.7,2.8,0.6,3.0,1.2,2.3,0.9,3,0,60
Eintracht Frankfurt,Rasmus Kristensen,27.0,28.0,77.7,6.1,1.8,2.8,1.8,1.6,0.9,4,1,60
Genk,Joris Kayembe,29.0,27.2,85.7,5.7,2.5,3.4,1.0,1.1,0.9,2,1,60
Gent,Archie Brown,22.0,25.5,72.5,4.7,4.4,2.5,1.4,2.0,1.1,6,2,60
Las Palmas,Viti,26.0,22.1,81.0,2.0,1.9,4.4,1.3,0.8,1.3,5,0,60
Bologna,Sam Beukema,25.0,33.5,86.4,4.6,0.8,2.5,1.1,2.8,0.8,4,0,60
Real Betis,Marc Bartra,33.0,23.4,81.3,2.9,0.3,2.8,1.8,2.1,0.6,5,0,59
Monaco,Vanderson,23.0,23.1,77.7,4.4,2.5,5.0,1.9,1.0,1.2,14,2,59
Fulham,Timothy Castagne,28.0,18.3,81.8,3.4,0.9,3.7,0.8,1.9,0.8,4,0,59
OH Leuven,Óscar Gil,27.0,11.2,79.8,2.9,1.8,3.9,1.9,1.1,1.5,9,0,59
Paris Saint Germain,Achraf Hakimi,25.0,23.0,88.7,8.0,4.0,3.4,1.1,0.4,0.8,4,3,59
Genk,Zakaria El Ouahdi,22.0,25.7,81.7,4.5,1.8,3.3,1.8,0.7,0.9,5,0,59
Club Brugge,Brandon Mechele,31.0,30.0,91.1,5.3,0.8,2.9,1.5,3.1,0.5,5,2,59
Stuttgart,Anthony Rouault,23.0,13.5,90.0,3.9,0.4,2.5,1.3,2.4,1.3,1,1,59
Saint Etienne,Dennis Appiah,32.0,23.7,76.6,4.6,2.2,4.2,1.5,1.1,1.6,8,2,59
Charleroi,Aiham Ousou,24.0,22.5,86.7,2.8,0.6,3.3,1.1,2.3,1.3,6,0,59
Mechelen,Daam Foulon,25.0,17.7,77.5,4.4,2.5,3.1,0.7,1.8,0.7,3,0,59
Cercle Brugge,Emmanuel Kakou,19.0,14.1,63.9,4.7,0.4,3.8,1.6,2.9,1.4,10,0,59
Dender,Bryan Goncalves,28.0,11.5,70.9,6.4,0.5,4.1,1.6,1.0,1.0,6,1,59
Lyon,Abner,24.0,12.2,84.1,5.4,2.5,2.8,1.2,0.6,1.3,1,0,58
OH Leuven,Federico Ricca,29.0,21.2,84.2,4.0,0.6,2.5,1.6,2.2,1.2,13,0,58
Internazionale,Carlos Augusto,25.0,18.8,88.3,4.3,1.6,2.0,1.1,3.0,0.5,1,0,58
Internazionale,Stefan de Vrij,32.0,19.2,93.3,4.0,0.6,2.1,1.0,3.4,0.5,2,0,58
OH Leuven,Takahiro Akimoto,26.0,22.6,80.6,2.6,1.0,3.9,1.2,1.5,0.8,6,0,58
Atalanta,Berat Djimsiti,31.0,29.4,87.7,3.7,1.1,3.2,1.2,3.1,0.8,9,2,58
Nice,Dante,40.0,21.9,88.5,4.4,0.8,3.0,1.3,1.9,0.9,10,1,58
Real Madrid,Fran Garcia,24.0,24.2,86.7,4.9,3.2,3.3,1.1,0.7,0.5,0,1,58
Parma,Antoine Hainaut,22.0,13.5,75.0,2.5,1.6,3.0,1.3,2.4,1.0,4,1,58
Gent,Jordan Torunarigha,26.0,20.6,83.9,5.0,1.0,3.3,1.5,2.6,0.8,16,0,58
Athletic Club,Yeray Álvarez,29.0,19.8,84.1,5.3,1.0,3.0,0.5,2.5,0.8,4,1,58
Bayern Munich,Eric Dier,30.0,16.3,93.8,4.5,0.7,2.4,1.2,3.2,1.0,1,1,58
Monaco,Wilfried Singo,23.0,23.3,86.2,5.1,1.5,3.4,0.7,2.2,1.5,4,2,58
Dender,Kobe Cools,27.0,29.3,80.2,2.0,0.1,3.2,2.0,3.3,1.0,7,1,58
Hellas Verona,Diego Coppola,20.0,32.5,81.1,1.5,0.1,4.2,1.4,4.1,1.4,10,2,58
Empoli,Mattia Viti,22.0,28.6,80.2,3.0,0.6,4.0,1.4,2.1,1.0,3,4,58
Alaves,Santiago Mouriño,22.0,20.6,78.0,2.2,0.7,3.5,1.3,1.8,1.6,7,0,58
Hoffenheim,Kevin Akpoguma,29.0,24.7,87.1,4.0,0.6,3.4,2.6,1.9,1.0,15,1,58
Le Havre,Timothee Pembele,21.0,12.4,81.5,3.5,2.2,3.3,1.3,0.8,0.7,3,0,58
Mainz 05,Moritz Jenz,25.0,17.8,84.3,2.6,0.1,3.7,1.3,4.1,1.5,4,2,58
Eintracht Frankfurt,Nathaniel Brown,21.0,21.7,80.7,2.9,2.1,4.0,1.4,0.2,0.7,2,1,58
Eintracht Frankfurt,Tuta,25.0,25.3,87.7,3.1,0.4,3.3,1.7,1.8,1.2,8,1,58
Bayern Munich,Alphonso Davies,23.0,17.4,89.7,6.9,4.7,2.5,0.8,0.5,0.5,0,2,58
Genoa,Johan Vásquez,25.0,33.8,84.7,2.8,1.1,3.1,1.7,2.8,0.9,12,1,58
Fiorentina,Fabiano Parisi,23.0,12.6,80.5,3.2,2.0,3.5,1.1,1.0,1.3,3,0,58
Manchester United,Lisandro Martínez,26.0,19.5,89.4,6.0,1.2,3.7,1.1,0.8,1.1,7,1,58
Nottingham Forest,Neco Williams,23.0,28.9,75.5,3.1,2.4,4.2,1.5,1.4,0.8,7,3,58
Tottenham Hotspur,Ben Davies,31.0,14.8,87.5,3.5,0.9,2.0,1.9,3.5,1.1,5,1,57
Barcelona,Gerard Martín,22.0,11.6,83.1,3.4,0.9,3.0,1.4,1.2,1.2,2,0,57
Paris Saint Germain,Nuno Mendes,22.0,18.7,86.9,6.8,3.1,2.6,1.3,0.8,0.7,6,2,57
Venezia,Michael Svoboda,25.0,14.6,84.8,2.9,0.9,3.3,1.3,2.4,0.5,1,2,57
Cercle Brugge,Ibrahim Diakité,20.0,18.3,71.1,3.7,1.2,2.6,2.0,2.3,1.2,7,1,57
Cercle Brugge,Gary Magnée,24.0,19.4,57.3,4.0,2.1,3.2,2.0,0.9,0.6,5,0,57
Cercle Brugge,Christiaan Ravych,22.0,26.7,71.2,3.5,0.5,3.6,1.5,2.4,0.7,7,1,57
Monza,Armando Izzo,32.0,27.1,87.9,2.7,0.4,3.1,1.4,1.9,2.4,12,0,57
Mainz 05,Dominik Kohr,30.0,25.6,81.1,3.9,1.0,4.1,1.7,1.5,1.8,22,0,57
