Team,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Napoli,Scott McTominay,sct SCO,MF,27.0,32.7,69,2.11,45,0,3,14,5,2,10,0.31,6,0,1,2,1,0
Napoli,Andre-Frank Zambo Anguissa,cm CMR,MF,28.0,31.8,75,2.37,61,0,5,4,1,4,9,0.28,6,0,2,0,1,0
Napoli,Stanislav Lobotka,sk SVK,MF,29.0,29.4,54,1.84,47,4,0,2,0,1,6,0.2,5,1,0,0,0,0
Napoli,Mathías Olivera,uy URU,DF,26.0,26.4,42,1.59,36,0,0,0,3,3,5,0.19,3,0,0,0,1,1
Napoli,Alessandro Buongiorno,it ITA,DF,25.0,21.4,19,0.89,18,0,0,1,0,0,2,0.09,2,0,0,0,0,0
Napoli,Leonardo Spinazzola,it ITA,DF,31.0,17.0,47,2.79,38,4,3,1,1,0,3,0.18,3,0,0,0,0,0
Napoli,Khvicha Kvaratskhelia,ge GEO,FW,23.0,13.2,57,4.35,40,10,2,2,3,0,6,0.46,5,0,1,0,0,0
Napoli,David Neres,br BRA,FW,27.0,14.4,59,4.14,39,7,10,2,1,0,9,0.63,5,1,2,0,1,0
Napoli,Billy Gilmour,sct SCO,MF,23.0,13.2,40,3.06,29,6,1,2,2,0,4,0.31,4,0,0,0,0,0
Napoli,Juan Jesus,br BRA,DF,33.0,12.0,9,0.75,9,0,0,0,0,0,1,0.08,1,0,0,0,0,0
Napoli,Giacomo Raspadori,it ITA,FW,24.0,12.4,51,4.16,29,12,2,6,2,0,4,0.33,2,0,0,0,2,0
Napoli,Pasquale Mazzocchi,it ITA,DF,29.0,7.8,18,2.3,15,0,2,0,1,0,0,0.0,0,0,0,0,0,0
Napoli,Elia Caprile,it ITA,GK,22.0,3.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Napoli,Giovanni Simeone,ar ARG,FW,29.0,4.7,12,2.59,9,0,1,1,1,0,2,0.43,1,0,0,1,0,0
Napoli,Cyril Ngonge,be BEL,FW,24.0,2.4,12,4.98,4,1,2,4,1,0,0,0.0,0,0,0,0,0,0
Napoli,Philip Billing,dk DEN,MF,28.0,2.2,8,3.65,4,0,0,2,1,1,1,0.46,0,0,0,1,0,0
Napoli,Rafa Marín,es ESP,DF,22.0,1.6,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Napoli,Simone Scuffet,it ITA,GK,28.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Napoli,Noah Okafor,ch SUI,FW,24.0,0.4,4,9.0,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Napoli,Michael Folorunsho,it ITA,FW,26.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Napoli,Walid Cheddira,ma MAR,FW,26.0,0.1,1,7.5,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Napoli,Alessio Zerbin,it ITA,"FW,DF",25.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Internazionale,Yann Sommer,ch SUI,GK,35.0,33.0,6,0.18,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Internazionale,Lautaro Martínez,ar ARG,FW,26.0,28.7,77,2.7,58,0,2,12,4,1,8,0.28,5,0,1,2,0,0
Internazionale,Alessandro Bastoni,it ITA,DF,25.0,26.9,71,2.66,61,4,0,1,3,2,11,0.41,9,1,0,0,1,0
Internazionale,Henrikh Mkhitaryan,am ARM,MF,35.0,26.8,101,3.8,96,2,2,0,1,0,12,0.45,11,0,0,0,1,0
Internazionale,Nicolò Barella,it ITA,MF,27.0,27.8,112,4.07,89,7,5,5,4,2,15,0.54,14,0,1,0,0,0
Internazionale,Federico Dimarco,it ITA,DF,26.0,24.4,96,4.0,57,26,2,9,2,0,14,0.58,10,2,0,2,0,0
Internazionale,Marcus Thuram,fr FRA,FW,26.0,25.6,90,3.54,66,0,7,7,9,1,16,0.63,10,0,2,1,3,0
Internazionale,Hakan Çalhanoğlu,tr TUR,MF,30.0,21.8,99,4.58,58,33,1,5,0,2,14,0.65,7,6,0,1,0,0
Internazionale,Denzel Dumfries,nl NED,DF,28.0,21.8,55,2.53,38,6,3,3,4,1,4,0.18,2,0,0,1,1,0
Internazionale,Matteo Darmian,it ITA,DF,34.0,19.9,34,1.72,26,3,0,1,2,2,4,0.2,4,0,0,0,0,0
Internazionale,Francesco Acerbi,it ITA,DF,36.0,19.0,20,1.05,20,0,0,0,0,0,1,0.05,1,0,0,0,0,0
Internazionale,Stefan de Vrij,nl NED,DF,32.0,19.2,14,0.73,9,0,0,5,0,0,3,0.16,2,0,0,1,0,0
Internazionale,Benjamin Pavard,fr FRA,DF,28.0,17.6,21,1.19,19,0,0,1,1,0,1,0.06,1,0,0,0,0,0
Internazionale,Yann Aurel Bisseck,de GER,DF,23.0,18.3,20,1.1,16,0,0,2,1,1,4,0.22,4,0,0,0,0,0
Internazionale,Carlos Augusto,br BRA,DF,25.0,18.8,24,1.28,18,1,0,1,2,2,3,0.16,2,0,0,1,0,0
Internazionale,Kristjan Asllani,al ALB,MF,22.0,11.0,31,2.82,23,6,0,1,1,0,3,0.27,2,1,0,0,0,0
Internazionale,Davide Frattesi,it ITA,MF,24.0,13.7,19,1.4,13,0,2,2,2,0,2,0.15,1,0,0,0,1,0
Internazionale,Piotr Zieliński,pl POL,MF,30.0,10.9,40,3.67,28,8,1,2,0,1,7,0.64,6,0,0,0,0,1
Internazionale,Mehdi Taremi,ir IRN,FW,32.0,9.1,33,3.64,25,0,1,3,4,0,4,0.44,2,0,0,1,1,0
Internazionale,Joaquín Correa,ar ARG,FW,29.0,8.1,25,3.07,21,0,2,1,1,0,4,0.49,3,0,1,0,0,0
Internazionale,Marko Arnautović,at AUT,FW,35.0,6.1,15,2.46,15,0,0,0,0,0,2,0.33,2,0,0,0,0,0
Internazionale,Josep Martinez,es ESP,GK,26.0,5.0,1,0.2,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Internazionale,Nicola Zalewski,pl POL,DF,22.0,4.9,20,4.14,17,0,1,1,1,0,1,0.21,1,0,0,0,0,0
Internazionale,Tajon Buchanan,ca CAN,DF,25.0,1.1,3,2.84,1,0,2,0,0,0,0,0.0,0,0,0,0,0,0
Internazionale,Tomás Palacios,ar ARG,DF,21.0,0.1,1,8.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Internazionale,Luka Topalović,si SVN,MF,18.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Atalanta,Marco Carnesecchi,it ITA,GK,24.0,34.0,5,0.15,4,1,0,0,0,0,1,0.03,1,0,0,0,0,0
Atalanta,Marten de Roon,nl NED,MF,33.0,34.0,73,2.15,59,10,1,0,1,2,14,0.41,12,2,0,0,0,0
Atalanta,Éderson,br BRA,MF,25.0,32.1,98,3.06,78,2,6,6,2,4,10,0.31,9,0,0,1,0,0
Atalanta,Berat Djimsiti,al ALB,DF,31.0,29.4,30,1.02,23,0,0,7,0,0,7,0.24,5,0,0,2,0,0
Atalanta,Mateo Retegui,it ITA,FW,25.0,26.8,76,2.87,62,0,2,8,4,0,14,0.53,11,0,0,2,1,0
Atalanta,Ademola Lookman,ng NGA,MF,26.0,25.2,135,5.41,75,25,17,15,2,1,15,0.6,10,0,3,1,1,0
Atalanta,Raoul Bellanova,it ITA,DF,24.0,26.8,56,2.1,45,8,2,0,1,0,11,0.41,10,1,0,0,0,0
Atalanta,Isak Hien,se SWE,DF,25.0,25.9,5,0.19,4,0,0,1,0,0,1,0.04,1,0,0,0,0,0
Atalanta,Davide Zappacosta,it ITA,DF,32.0,23.1,53,2.31,42,5,1,5,0,0,6,0.26,6,0,0,0,0,0
Atalanta,Charles De Ketelaere,be BEL,MF,23.0,23.2,88,3.83,73,0,5,7,3,0,14,0.61,11,0,1,2,0,0
Atalanta,Mario Pašalić,hr CRO,MF,29.0,22.0,71,3.25,60,4,2,4,0,1,9,0.41,8,1,0,0,0,0
Atalanta,Sead Kolašinac,ba BIH,DF,31.0,21.2,37,1.75,33,0,0,3,1,0,4,0.19,3,0,0,1,0,0
Atalanta,Matteo Ruggeri,it ITA,DF,22.0,19.5,39,2.0,35,1,1,2,0,0,4,0.21,4,0,0,0,0,0
Atalanta,Odilon Kossounou,ci CIV,DF,23.0,12.5,7,0.56,6,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Atalanta,Marco Brescianini,it ITA,MF,24.0,11.1,26,2.37,22,0,2,2,0,0,6,0.55,4,0,0,2,0,0
Atalanta,Lazar Samardzic,rs SRB,MF,22.0,13.0,77,5.93,50,12,8,6,0,1,6,0.46,5,0,0,1,0,0
Atalanta,Juan Cuadrado,co COL,DF,36.0,9.3,37,4.0,27,7,1,0,2,0,3,0.32,1,1,0,0,1,0
Atalanta,Stefan Posch,at AUT,DF,27.0,4.3,5,1.16,3,0,0,2,0,0,1,0.23,0,0,0,1,0,0
Atalanta,Giorgio Scalvini,it ITA,DF,20.0,3.1,1,0.33,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Atalanta,Ibrahim Sulemana,gh GHA,MF,21.0,3.2,3,0.95,1,0,1,1,0,0,0,0.0,0,0,0,0,0,0
Atalanta,Rui Patrício,pt POR,GK,36.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Atalanta,Rafael Tolói,it ITA,DF,33.0,5.2,7,1.35,5,0,0,0,1,1,0,0.0,0,0,0,0,0,0
Atalanta,Daniel Maldini,it ITA,FW,22.0,2.9,9,3.14,9,0,0,0,0,0,1,0.35,1,0,0,0,0,0
Atalanta,Marco Palestra,it ITA,DF,19.0,2.5,8,3.21,7,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Atalanta,Juan Musso,ar ARG,GK,30.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Atalanta,Nicolò Zaniolo,it ITA,FW,25.0,4.0,15,3.79,10,0,1,2,2,0,3,0.76,3,0,0,0,0,0
Atalanta,Vanja Vlahović,rs SRB,FW,20.0,0.7,3,4.5,2,0,0,0,1,0,1,1.5,0,0,0,0,1,0
Atalanta,Ben Godfrey,eng ENG,DF,26.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Atalanta,Mitchel Bakker,nl NED,MF,24.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Atalanta,Federico Cassa,it ITA,MF,18.0,0.2,1,6.43,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Atalanta,Alberto Manzoni,it ITA,MF,19.0,0.1,1,15.0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Atalanta,Gianluca Scamacca,it ITA,FW,25.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Juventus,Manuel Locatelli,it ITA,MF,26.0,31.5,98,3.13,85,5,1,3,2,2,8,0.26,6,1,0,0,0,1
Juventus,Michele Di Gregorio,it ITA,GK,27.0,33.0,2,0.06,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Juventus,Kenan Yıldız,tr TUR,FW,19.0,26.8,130,4.87,86,11,13,12,5,3,10,0.37,7,0,2,1,0,0
Juventus,Weston McKennie,us USA,MF,25.0,25.8,60,2.34,50,3,1,3,3,0,9,0.35,9,0,0,0,0,0
Juventus,Khéphren Thuram,fr FRA,MF,23.0,26.0,56,2.17,47,0,2,4,2,1,10,0.39,9,0,0,1,0,0
Juventus,Federico Gatti,it ITA,DF,26.0,24.5,26,1.07,17,0,1,5,1,2,2,0.08,0,0,0,1,1,0
Juventus,Pierre Kalulu,fr FRA,DF,24.0,26.0,36,1.39,30,0,1,1,3,1,1,0.04,1,0,0,0,0,0
Juventus,Andrea Cambiaso,it ITA,DF,24.0,24.8,85,3.45,67,7,4,3,2,2,9,0.36,7,1,0,1,0,0
Juventus,Teun Koopmeiners,nl NED,MF,26.0,22.2,63,2.84,39,17,2,2,2,1,3,0.14,2,1,0,0,0,0
Juventus,Nicolás González,ar ARG,FW,26.0,19.6,47,2.42,32,2,3,5,4,1,4,0.21,3,0,0,1,0,0
Juventus,Dušan Vlahović,rs SRB,FW,24.0,19.9,41,2.07,28,0,6,5,2,0,8,0.4,5,0,3,0,0,0
Juventus,Nicolò Savona,it ITA,DF,21.0,19.3,29,1.51,27,1,1,0,0,0,2,0.1,2,0,0,0,0,0
Juventus,Timothy Weah,us USA,DF,24.0,18.3,36,1.98,29,2,1,2,2,0,3,0.16,2,0,0,1,0,0
Juventus,Randal Kolo Muani,fr FRA,FW,25.0,13.0,27,2.09,20,0,6,0,1,0,3,0.23,1,0,2,0,0,0
Juventus,Francisco Conceição,pt POR,FW,21.0,15.0,64,4.3,45,4,10,4,1,0,9,0.6,5,1,1,1,1,0
Juventus,Renato Veiga,pt POR,DF,21.0,12.2,9,0.74,9,0,0,0,0,0,1,0.08,1,0,0,0,0,0
Juventus,Lloyd Kelly,eng ENG,DF,25.0,11.3,12,1.07,10,1,0,1,0,0,0,0.0,0,0,0,0,0,0
Juventus,Samuel Mbangula,be BEL,FW,20.0,7.9,23,2.92,20,0,1,0,1,1,5,0.63,3,0,0,0,1,1
Juventus,Danilo,br BRA,DF,33.0,6.5,10,1.55,10,0,0,0,0,0,1,0.15,1,0,0,0,0,0
Juventus,Gleison Bremer,br BRA,DF,27.0,6.0,3,0.5,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Juventus,Juan David Cabal,co COL,DF,23.0,5.1,3,0.59,3,0,0,0,0,0,3,0.59,3,0,0,0,0,0
Juventus,Nicolò Fagioli,it ITA,MF,23.0,6.4,10,1.57,8,0,0,2,0,0,1,0.16,1,0,0,0,0,0
Juventus,Mattia Perin,it ITA,GK,31.0,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Juventus,Douglas Luiz,br BRA,MF,26.0,5.9,28,4.75,18,7,0,3,0,0,1,0.17,0,1,0,0,0,0
Juventus,Alberto costa,pt POR,DF,20.0,4.0,7,1.76,4,0,1,2,0,0,1,0.25,1,0,0,0,0,0
Juventus,Jonas Rouhi,se SWE,DF,20.0,2.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Juventus,Vasilije Adžić,me MNE,MF,18.0,0.5,2,4.29,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Juventus,Diego Pugno,it ITA,FW,18.0,0.1,1,12.86,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Juventus,Lorenzo Anghelè,it ITA,FW,19.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Roma,Obite N'Dicka,ci CIV,DF,24.0,38.0,33,0.87,30,0,0,3,0,0,3,0.08,1,0,0,2,0,0
Roma,Mile Svilar,rs SRB,GK,24.0,38.0,6,0.16,5,1,0,0,0,0,0,0.0,0,0,0,0,0,0
Roma,Angeliño,es ESP,DF,27.0,35.3,89,2.52,68,14,2,1,4,0,7,0.2,6,0,0,0,1,0
Roma,Gianluca Mancini,it ITA,DF,28.0,34.9,41,1.17,35,0,0,4,1,1,2,0.06,2,0,0,0,0,0
Roma,Manu Koné,fr FRA,MF,23.0,28.7,67,2.34,46,1,5,6,6,3,6,0.21,3,0,1,0,1,1
Roma,Artem Dovbyk,ua UKR,FW,27.0,27.1,52,1.94,43,0,4,4,1,0,6,0.22,3,0,2,1,0,0
Roma,Zeki Çelik,tr TUR,DF,27.0,25.2,38,1.51,35,1,1,1,0,0,4,0.16,4,0,0,0,0,0
Roma,Bryan Cristante,it ITA,MF,29.0,22.8,51,2.24,46,0,0,4,1,0,5,0.22,5,0,0,0,0,0
Roma,Matìas Soulé,ar ARG,MF,21.0,20.0,90,4.55,63,17,3,5,2,0,8,0.4,5,1,0,1,1,0
Roma,Lorenzo Pellegrini,it ITA,MF,28.0,18.2,60,3.32,33,14,2,8,2,1,5,0.28,2,0,0,3,0,0
Roma,Alexis Saelemaekers,be BEL,DF,25.0,15.6,55,3.57,42,2,3,4,4,0,10,0.65,5,0,1,2,2,0
Roma,Paulo Dybala,ar ARG,FW,30.0,15.9,84,5.34,47,19,1,6,11,0,8,0.51,5,1,0,0,2,0
Roma,Leandro Paredes,ar ARG,MF,30.0,15.3,48,3.15,33,9,1,3,0,2,2,0.13,1,1,0,0,0,0
Roma,Stephan El Shaarawy,it ITA,DF,31.0,12.3,47,3.85,37,1,2,4,3,0,9,0.74,7,0,0,1,1,0
Roma,Niccolò Pisilli,it ITA,MF,19.0,13.7,35,2.57,27,0,1,3,3,1,5,0.37,4,0,0,1,0,0
Roma,Eldor Shomurodov,uz UZB,FW,29.0,12.3,32,2.62,27,0,0,4,0,1,7,0.57,7,0,0,0,0,0
Roma,Mats Hummels,de GER,DF,35.0,10.2,8,0.79,6,0,1,0,1,0,1,0.1,1,0,0,0,0,0
Roma,Tommaso Baldanzi,it ITA,MF,21.0,9.3,36,3.89,23,0,6,4,2,1,4,0.43,3,0,0,0,0,1
Roma,Devyne Rensch,nl NED,DF,21.0,5.2,14,2.69,8,1,0,2,3,0,1,0.19,1,0,0,0,0,0
Roma,Nicola Zalewski,pl POL,DF,22.0,6.0,20,3.37,18,0,0,0,2,0,0,0.0,0,0,0,0,0,0
Roma,Enzo Le Fée,fr FRA,MF,24.0,3.6,9,2.55,7,1,1,0,0,0,0,0.0,0,0,0,0,0,0
Roma,Mario Hermoso,es ESP,DF,29.0,2.8,4,1.43,3,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Roma,Lucas Gourna-Douath,fr FRA,MF,20.0,2.6,4,1.58,3,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Roma,Saud Abdulhamid,sa KSA,DF,25.0,2.3,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0
Roma,Anass Salah-Eddine,nl NED,DF,22.0,1.7,4,2.37,4,0,0,0,0,0,1,0.59,1,0,0,0,0,0
Roma,Victor Nelsson,dk DEN,DF,25.0,2.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Roma,Samuel Dahl,se SWE,DF,24.0,0.5,1,2.09,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Roma,Tammy Abraham,eng ENG,FW,26.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Fiorentina,David de Gea,es ESP,GK,33.0,35.0,10,0.29,8,2,0,0,0,0,3,0.09,2,1,0,0,0,0
Fiorentina,Dodô,br BRA,DF,25.0,34.7,75,2.17,56,2,4,3,8,2,11,0.32,7,0,2,0,2,0
Fiorentina,Luca Ranieri,it ITA,DF,25.0,34.2,28,0.82,24,0,2,2,0,0,6,0.18,6,0,0,0,0,0
Fiorentina,Moise Kean,it ITA,FW,24.0,30.1,57,1.9,26,1,16,8,5,1,7,0.23,2,0,3,2,0,0
Fiorentina,Robin Gosens,de GER,DF,30.0,28.1,66,2.36,51,6,2,5,1,1,14,0.5,8,2,0,4,0,0
Fiorentina,Pietro Comuzzo,it ITA,DF,19.0,24.5,20,0.82,17,0,0,1,0,2,1,0.04,1,0,0,0,0,0
Fiorentina,Danilo Cataldi,it ITA,MF,29.0,19.4,32,1.68,21,6,0,3,1,1,1,0.05,0,1,0,0,0,0
Fiorentina,Rolando Mandragora,it ITA,MF,27.0,21.6,56,2.61,35,11,1,3,3,3,5,0.23,3,2,0,0,0,0
Fiorentina,Lucas Beltrán,ar ARG,FW,23.0,21.9,63,2.9,55,1,1,2,2,2,9,0.41,8,0,0,0,1,0
Fiorentina,Andrea Colpani,it ITA,FW,25.0,16.3,43,2.7,34,4,0,4,1,0,5,0.31,3,0,0,2,0,0
Fiorentina,Albert Guðmundsson,is ISL,FW,27.0,14.3,39,2.76,26,2,2,5,4,0,5,0.35,3,0,0,0,2,0
Fiorentina,Yacine Adli,fr FRA,MF,24.0,13.5,50,3.64,35,10,2,2,1,0,10,0.73,6,2,1,1,0,0
Fiorentina,Marin Pongračić,hr CRO,DF,26.0,15.2,12,0.79,10,2,0,0,0,0,1,0.07,1,0,0,0,0,0
Fiorentina,Pablo Marí,es ESP,DF,30.0,12.2,10,0.82,9,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Fiorentina,Fabiano Parisi,it ITA,DF,23.0,12.6,14,1.12,8,1,3,0,2,0,2,0.16,0,0,2,0,0,0
Fiorentina,Edoardo Bove,it ITA,MF,22.0,9.5,31,3.27,24,1,1,1,3,1,7,0.74,5,0,1,0,1,0
Fiorentina,Amir Richardson,ma MAR,MF,22.0,12.3,19,1.56,17,0,1,0,1,0,4,0.33,3,0,0,0,1,0
Fiorentina,Nicolò Fagioli,it ITA,MF,23.0,10.7,43,4.02,32,5,1,4,1,0,4,0.37,3,0,0,1,0,0
Fiorentina,Riccardo Sottil,it ITA,FW,25.0,9.3,35,3.78,23,0,5,3,4,0,4,0.43,3,0,0,0,1,0
Fiorentina,Michael Folorunsho,it ITA,FW,26.0,7.3,14,1.94,9,0,2,1,1,1,1,0.14,1,0,0,0,0,0
Fiorentina,Christian Kouamé,ci CIV,FW,26.0,7.0,22,3.19,18,0,2,1,1,0,0,0.0,0,0,0,0,0,0
Fiorentina,Cristiano Biraghi,it ITA,DF,31.0,4.8,8,1.66,3,5,0,0,0,0,0,0.0,0,0,0,0,0,0
Fiorentina,Cher Ndour,it ITA,MF,20.0,4.5,10,2.22,8,0,0,0,1,1,0,0.0,0,0,0,0,0,0
Fiorentina,Lucas Martínez Quarta,ar ARG,DF,28.0,3.9,4,1.03,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Fiorentina,Nicolò Zaniolo,it ITA,FW,25.0,3.8,10,2.42,6,0,1,0,3,0,0,0.0,0,0,0,0,0,0
Fiorentina,Pietro Terracciano,it ITA,GK,34.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Fiorentina,Sofyan Amrabat,ma MAR,MF,27.0,2.0,4,2.0,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Fiorentina,Matias Moreno,ar ARG,DF,20.0,1.6,3,1.87,2,0,1,0,0,0,0,0.0,0,0,0,0,0,0
Fiorentina,Jonathan Ikone,fr FRA,FW,26.0,3.7,13,3.5,8,0,2,1,2,0,0,0.0,0,0,0,0,0,0
Fiorentina,Michael Kayode,it ITA,DF,20.0,1.4,4,2.83,2,0,2,0,0,0,0,0.0,0,0,0,0,0,0
Fiorentina,Antonín Barák,cz CZE,MF,29.0,0.6,3,5.0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Fiorentina,Alessandro Bianco,it ITA,MF,21.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Fiorentina,Maat Daniel Caprini,it ITA,FW,18.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Fiorentina,Tommaso Rubino,it ITA,MF,17.0,0.1,1,11.25,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lazio,Mattéo Guendouzi,fr FRA,MF,25.0,36.4,118,3.25,106,4,2,4,1,1,7,0.19,7,0,0,0,0,0
Lazio,Mattia Zaccagni,it ITA,FW,29.0,30.1,107,3.59,69,24,1,6,6,1,9,0.3,7,2,0,0,0,0
Lazio,Mario Gila,es ESP,DF,23.0,30.5,38,1.25,34,1,0,2,0,1,1,0.03,1,0,0,0,0,0
Lazio,Nicolò Rovella,it ITA,MF,22.0,30.3,71,2.35,58,5,2,0,3,3,3,0.1,3,0,0,0,0,0
Lazio,Alessio Romagnoli,it ITA,DF,29.0,29.7,27,0.91,25,0,0,2,0,0,1,0.03,1,0,0,0,0,0
Lazio,Ivan Provedel,it ITA,GK,30.0,29.0,13,0.45,10,2,0,0,1,0,0,0.0,0,0,0,0,0,0
Lazio,Gustav Isaksen,dk DEN,FW,23.0,24.8,93,3.79,53,11,14,7,8,0,9,0.37,6,0,2,0,1,0
Lazio,Valentín Castellanos,ar ARG,FW,25.0,26.6,73,2.76,37,1,5,23,5,2,14,0.53,7,0,1,3,2,1
Lazio,Boulaye Dia,sn SEN,MF,27.0,24.4,55,2.27,40,0,4,8,2,1,8,0.33,7,0,0,1,0,0
Lazio,Adam Marušić,me MNE,DF,31.0,26.0,33,1.27,25,2,0,5,0,1,3,0.12,1,0,0,2,0,0
Lazio,Nuno Tavares,pt POR,DF,24.0,18.9,63,3.37,49,3,7,2,2,0,11,0.59,7,1,2,0,1,0
Lazio,Manuel Lazzari,it ITA,DF,30.0,15.7,36,2.3,32,0,2,0,1,1,2,0.13,2,0,0,0,0,0
Lazio,Fisayo Dele-Bashiru,ng NGA,MF,23.0,10.6,24,2.28,17,0,5,2,0,0,1,0.09,1,0,0,0,0,0
Lazio,Luca Pellegrini,it ITA,DF,25.0,11.9,46,3.88,33,5,2,3,1,2,12,1.01,7,1,1,2,1,0
Lazio,Christos Mandas,gr GRE,GK,22.0,9.0,2,0.22,2,0,0,0,0,0,1,0.11,1,0,0,0,0,0
Lazio,Tijjani Noslin,nl NED,FW,25.0,9.6,27,2.82,20,0,2,2,2,1,4,0.42,3,0,1,0,0,0
Lazio,Matías Vecino,uy URU,MF,32.0,9.8,22,2.25,18,0,0,3,0,1,4,0.41,3,0,0,1,0,0
Lazio,Samuel Gigot,fr FRA,DF,30.0,7.6,6,0.79,6,0,0,0,0,0,1,0.13,1,0,0,0,0,0
Lazio,Pedro,es ESP,FW,37.0,12.3,50,4.09,36,8,2,3,0,1,3,0.25,3,0,0,0,0,0
Lazio,Loum Tchaouna,fr FRA,FW,20.0,7.4,25,3.4,20,1,0,2,0,2,6,0.82,5,0,0,1,0,0
Lazio,Patric,es ESP,DF,31.0,6.8,11,1.63,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lazio,Elseid Hysaj,al ALB,DF,30.0,4.7,10,2.12,8,0,1,1,0,0,3,0.64,3,0,0,0,0,0
Lazio,Nicolò Casale,it ITA,DF,26.0,1.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lazio,Reda Belahyane,ma MAR,MF,20.0,2.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lazio,Gaetano Castrovilli,it ITA,MF,27.0,1.7,3,1.84,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lazio,Oliver Nielsen,dk DEN,DF,21.0,0.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Lazio,Arijon Ibrahimović,de GER,MF,18.0,0.1,1,11.25,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Milan,Mike Maignan,fr FRA,GK,29.0,36.6,6,0.16,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Milan,Tijjani Reijnders,nl NED,MF,26.0,34.8,117,3.37,77,15,13,8,3,1,10,0.29,5,2,1,2,0,0
Milan,Theo Hernández,fr FRA,DF,26.0,30.0,107,3.57,66,22,6,8,4,1,12,0.4,8,1,0,1,1,1
Milan,Youssouf Fofana,fr FRA,MF,25.0,27.9,62,2.23,57,0,0,0,0,5,6,0.22,6,0,0,0,0,0
Milan,Christian Pulisic,us USA,FW,25.0,27.7,125,4.54,86,17,6,8,5,3,14,0.51,6,3,0,3,1,1
Milan,Rafael Leão,pt POR,FW,25.0,25.9,113,4.38,78,1,16,11,6,1,16,0.62,10,0,3,1,2,0
Milan,Matteo Gabbia,it ITA,DF,24.0,24.0,22,0.92,16,3,0,1,1,1,3,0.13,1,0,0,1,0,1
Milan,Strahinja Pavlović,rs SRB,DF,23.0,20.7,29,1.4,24,0,0,2,3,0,3,0.14,1,0,0,1,1,0
