Team,Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1
Marseille,Valentin Rongier,fr FRA,MF,29.0,17.5,35,2.02,29,0,0,3,1,2,6,0.35,5,0,0,0,1,0
Marseille,Derek Cornelius,ca CAN,DF,26.0,15.8,9,0.57,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marseille,Neal Maupay,fr FRA,FW,27.0,11.7,22,1.9,20,0,2,0,0,0,5,0.43,5,0,0,0,0,0
Marseille,Amine Gouiri,dz ALG,FW,24.0,11.7,56,4.81,24,18,3,10,1,0,7,0.6,3,1,1,2,0,0
Marseille,Ulisses Garcia,ch SUI,DF,28.0,10.4,20,1.93,15,0,2,0,2,1,7,0.68,5,0,1,0,1,0
Marseille,Lilian Brassier,fr FRA,DF,24.0,8.7,3,0.35,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marseille,Ismaël Bennacer,dz ALG,MF,26.0,7.3,25,3.48,17,4,2,1,0,1,4,0.56,2,1,0,0,0,1
Marseille,Amine Harit,ma MAR,MF,27.0,5.8,33,5.72,27,2,1,0,2,1,8,1.39,7,0,0,0,1,0
Marseille,Elye Wahi,fr FRA,FW,21.0,6.4,16,2.5,12,0,2,2,0,0,4,0.63,3,0,1,0,0,0
Marseille,Jon Rowe,eng ENG,FW,21.0,9.0,38,4.24,20,2,8,6,2,0,7,0.78,4,0,1,2,0,0
Marseille,Pol Lirola,es ESP,DF,26.0,7.6,16,2.12,13,2,0,1,0,0,2,0.26,2,0,0,0,0,0
Marseille,Bilal Nadir,ma MAR,MF,20.0,4.3,17,3.99,11,1,1,1,2,1,1,0.23,0,0,0,0,1,0
Marseille,Ismaël Koné,ca CAN,MF,22.0,4.0,6,1.5,3,1,0,1,1,0,0,0.0,0,0,0,0,0,0
Marseille,Amar Dedić,ba BIH,DF,21.0,3.5,14,4.01,11,0,2,1,0,0,1,0.29,1,0,0,0,0,0
Marseille,Luiz Felipe,it ITA,DF,27.0,1.4,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marseille,Valentin Carboni,ar ARG,MF,19.0,1.1,5,4.37,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0
Marseille,Robinio Vaz,fr FRA,FW,17.0,0.8,3,3.6,0,0,0,0,2,1,2,2.4,0,0,0,0,1,1
Marseille,Bamo Meïté,ci CIV,DF,22.0,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marseille,Enzo Sternal,fr FRA,FW,17.0,0.3,1,3.75,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marseille,Darryl Bakola,fr FRA,DF,16.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marseille,Emmanuel Koum Mbondo,fr FRA,DF,18.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marseille,Faris Pemi Moumbagna,cm CMR,FW,24.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Marseille,Keyliane Abdallah,fr FRA,FW,18.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0
Monaco,Maghnes Akliouche,fr FRA,FW,22.0,26.8,119,4.45,87,3,12,6,8,3,19,0.71,17,0,0,2,0,0
Monaco,Thilo Kehrer,de GER,DF,27.0,26.5,26,0.98,22,2,0,2,0,0,3,0.11,2,0,0,1,0,0
Monaco,Takumi Minamino,jp JPN,MF,29.0,25.0,80,3.23,67,0,6,6,0,1,7,0.28,5,0,1,1,0,0
Monaco,Lamine Camara,sn SEN,MF,20.0,23.0,82,3.59,43,30,0,4,2,3,13,0.57,7,5,0,1,0,0
Monaco,Denis Zakaria,ch SUI,MF,27.0,23.9,52,2.18,41,0,2,5,1,3,10,0.42,8,0,0,1,0,1
Monaco,Wilfried Singo,ci CIV,DF,23.0,23.3,19,0.82,14,1,0,2,0,2,2,0.09,1,0,0,0,0,1
Monaco,Vanderson,br BRA,DF,23.0,23.1,58,2.53,49,0,5,2,1,1,8,0.35,6,0,1,1,0,0
Monaco,Caio Henrique Oliveira Silva,br BRA,DF,27.0,21.5,64,2.99,42,17,2,0,3,0,9,0.42,7,1,0,0,1,0
Monaco,Breel Embolo,ch SUI,FW,27.0,20.6,54,2.64,42,0,2,4,4,2,10,0.49,6,0,1,2,1,0
Monaco,Eliesse Ben Seghir,ma MAR,MF,19.0,19.6,77,3.96,57,7,1,8,4,0,7,0.36,4,1,0,1,1,0
Monaco,Philipp Köhn,ch SUI,GK,26.0,19.0,4,0.21,2,2,0,0,0,0,1,0.05,1,0,0,0,0,0
Monaco,Christian Mawissa,fr FRA,DF,19.0,16.7,7,0.42,6,0,0,0,1,0,0,0.0,0,0,0,0,0,0
Monaco,Mika Biereth,dk DEN,FW,21.0,13.8,38,2.78,32,0,0,3,2,1,4,0.29,3,0,0,0,1,0
Monaco,Radosław Majecki,pl POL,GK,24.0,15.0,1,0.07,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0
