Team,Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Paris Saint Germain,Bradley Barcola,fr FRA,FW,21.0,24.4,2,0,0,30,22,7,25,19,17,0,0,0,67,14,7,66.7
Paris Saint Germain,Gianluigi Donnarumma,it ITA,GK,25.0,23.2,2,0,0,0,3,0,0,0,1,0,0,0,40,4,0,100.0
Paris Saint Germain,Achraf Hakimi,ma MAR,DF,25.0,23.0,4,0,0,19,25,8,80,31,36,0,0,0,136,9,12,42.9
Paris Saint Germain,Willian Pacho,ec ECU,DF,22.0,23.7,2,0,0,20,7,0,0,40,32,0,0,0,119,29,26,52.7
Paris Saint Germain,Warren Zaïre-Emery,fr FRA,MF,18.0,22.9,3,0,0,25,19,1,9,23,26,0,0,0,136,9,14,39.1
Paris Saint Germain,Lucas Beraldo,br BRA,DF,20.0,22.4,6,0,0,22,9,1,3,21,31,0,1,0,115,45,21,68.2
Paris Saint Germain,João Neves,pt POR,MF,19.0,20.6,1,0,0,17,33,3,15,23,31,0,0,0,123,21,12,63.6
Paris Saint Germain,Fabián Ruiz Peña,es ESP,MF,28.0,21.5,1,0,0,6,10,5,27,16,24,0,0,0,135,5,8,38.5
Paris Saint Germain,Vitinha,pt POR,MF,24.0,22.7,1,0,0,9,12,0,21,14,23,0,0,0,144,1,5,16.7
Paris Saint Germain,Ousmane Dembélé,fr FRA,FW,27.0,19.4,1,0,0,8,14,9,80,9,5,1,0,0,39,4,6,40.0
Paris Saint Germain,Marquinhos,br BRA,DF,30.0,19.2,3,0,0,18,7,1,3,11,19,0,1,0,103,32,17,65.3
Paris Saint Germain,Nuno Mendes,pt POR,DF,22.0,18.7,3,0,0,13,23,1,60,18,19,1,1,0,108,15,11,57.7
Paris Saint Germain,Lee Kang-in,kr KOR,FW,23.0,18.6,1,0,0,21,28,1,94,3,17,0,0,0,73,5,10,33.3
Paris Saint Germain,Désiré Doué,fr FRA,FW,19.0,19.4,1,0,0,28,44,1,78,13,30,2,0,0,93,8,10,44.4
Paris Saint Germain,Gonçalo Ramos,pt POR,FW,23.0,11.9,1,0,0,8,11,9,1,0,6,1,0,0,18,20,15,57.1
Paris Saint Germain,Khvicha Kvaratskhelia,ge GEO,FW,23.0,10.3,0,0,0,12,18,0,33,2,13,0,0,0,27,3,5,37.5
Paris Saint Germain,Lucas Hernández,fr FRA,DF,28.0,9.8,2,0,0,9,9,0,2,7,18,0,0,1,45,13,6,68.4
Paris Saint Germain,Matvei Safonov,ru RUS,GK,25.0,9.8,0,0,0,0,1,0,0,1,0,0,0,0,15,0,0,
Paris Saint Germain,Senny Mayulu,fr FRA,MF,18.0,9.0,1,0,0,20,18,0,9,5,16,0,0,0,32,1,10,9.1
Paris Saint Germain,Marco Asensio,es ESP,FW,28.0,6.9,0,0,0,1,4,3,13,0,3,0,0,0,18,1,2,33.3
Paris Saint Germain,Milan Škriniar,sk SVK,DF,29.0,4.2,1,0,0,4,5,1,0,3,5,0,0,0,25,7,5,58.3
Paris Saint Germain,Ibrahim Mbaye,fr FRA,FW,16.0,3.8,0,0,0,6,3,1,5,2,2,0,0,0,10,2,4,33.3
Paris Saint Germain,Randal Kolo Muani,fr FRA,FW,25.0,4.0,0,0,0,7,7,2,0,0,4,1,0,0,8,9,3,75.0
Paris Saint Germain,Yoram Zague,fr FRA,DF,18.0,2.0,0,0,0,2,0,0,4,2,6,0,0,0,5,1,1,50.0
Paris Saint Germain,Axel Tapé,fr FRA,DF,16.0,2.0,1,0,0,2,3,0,0,1,1,0,0,0,11,1,4,20.0
Paris Saint Germain,Arnau Tenas,es ESP,GK,23.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Paris Saint Germain,Noham Kamara,fr FRA,DF,17.0,0.8,0,0,0,0,0,0,0,1,1,0,0,0,4,2,0,100.0
Paris Saint Germain,Presnel Kimpembe,fr FRA,DF,28.0,0.3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
Marseille,Gerónimo Rulli,ar ARG,GK,32.0,34.0,1,0,0,2,11,0,0,1,3,0,2,0,37,7,1,87.5
Marseille,Mason Greenwood,eng ENG,FW,22.0,31.3,3,0,0,24,37,2,110,12,18,2,0,0,88,8,7,53.3
Marseille,Pierre Højbjerg,dk DEN,MF,28.0,29.6,5,0,0,30,39,0,19,42,45,0,0,0,171,21,18,53.8
Marseille,Luis Henrique,br BRA,DF,22.0,29.2,0,0,0,8,8,9,97,10,9,0,0,0,116,0,5,0.0
Marseille,Adrien Rabiot,fr FRA,MF,29.0,27.6,4,0,0,53,33,12,40,21,31,0,1,0,124,34,26,56.7
Marseille,Michael Amir Murillo,pa PAN,DF,28.0,27.1,3,0,0,29,26,1,37,18,31,0,1,0,138,42,17,71.2
Marseille,Leonardo Balerdi,ar ARG,DF,25.0,25.3,9,1,1,28,20,0,2,38,39,0,0,1,161,39,21,65.0
Marseille,Geoffrey Kondogbia,cf CTA,DF,31.0,22.5,1,0,0,19,17,1,4,22,38,0,0,0,108,27,15,64.3
Marseille,Quentin Merlin,fr FRA,DF,22.0,17.8,1,0,0,11,17,2,95,14,17,0,0,0,69,7,15,31.8
Marseille,Valentin Rongier,fr FRA,MF,29.0,17.5,5,0,0,37,14,0,7,33,28,0,1,0,86,13,11,54.2
Marseille,Derek Cornelius,ca CAN,DF,26.0,15.8,9,2,2,25,14,0,4,14,17,0,1,0,67,32,13,71.1
Marseille,Neal Maupay,fr FRA,FW,27.0,11.7,3,1,1,10,17,2,1,2,4,0,0,0,21,8,14,36.4
Marseille,Amine Gouiri,dz ALG,FW,24.0,11.7,0,0,0,11,7,5,57,1,5,0,0,0,24,2,10,16.7
Marseille,Ulisses Garcia,ch SUI,DF,28.0,10.4,2,0,0,8,9,2,35,8,11,1,0,0,48,17,6,73.9
Marseille,Lilian Brassier,fr FRA,DF,24.0,8.7,3,0,0,7,3,0,5,9,6,0,0,0,38,17,7,70.8
Marseille,Ismaël Bennacer,dz ALG,MF,26.0,7.3,2,0,0,19,11,0,28,10,10,0,0,0,50,2,4,33.3
Marseille,Amine Harit,ma MAR,MF,27.0,5.8,1,1,0,6,15,0,7,3,7,1,0,0,24,1,5,16.7
Marseille,Elye Wahi,fr FRA,FW,21.0,6.4,1,0,0,17,8,10,2,1,0,0,0,0,8,4,13,23.5
Marseille,Jon Rowe,eng ENG,FW,21.0,9.0,2,0,0,14,26,6,28,2,11,0,0,0,21,7,14,33.3
Marseille,Pol Lirola,es ESP,DF,26.0,7.6,1,1,0,9,9,0,14,4,9,0,0,1,29,4,7,36.4
Marseille,Bilal Nadir,ma MAR,MF,20.0,4.3,2,0,0,4,11,0,6,4,3,0,0,0,19,4,2,66.7
Marseille,Ismaël Koné,ca CAN,MF,22.0,4.0,0,0,0,4,11,1,3,4,4,0,0,0,14,2,5,28.6
Marseille,Amar Dedić,ba BIH,DF,21.0,3.5,1,0,0,7,2,0,5,3,4,0,0,0,18,7,6,53.8
Marseille,Luiz Felipe,it ITA,DF,27.0,1.4,1,0,0,1,0,0,0,3,3,0,0,0,2,3,3,50.0
Marseille,Valentin Carboni,ar ARG,MF,19.0,1.1,1,0,0,5,1,0,2,1,2,0,0,0,2,2,1,66.7
Marseille,Robinio Vaz,fr FRA,FW,17.0,0.8,1,0,0,1,4,0,1,0,1,1,0,0,1,2,2,50.0
Marseille,Bamo Meïté,ci CIV,DF,22.0,0.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Marseille,Enzo Sternal,fr FRA,FW,17.0,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Marseille,Darryl Bakola,fr FRA,DF,16.0,0.2,1,0,0,3,0,0,0,0,1,0,0,0,1,0,0,
Marseille,Emmanuel Koum Mbondo,fr FRA,DF,18.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Marseille,Faris Pemi Moumbagna,cm CMR,FW,24.0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Marseille,Keyliane Abdallah,fr FRA,FW,18.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Monaco,Maghnes Akliouche,fr FRA,FW,22.0,26.8,2,0,0,31,38,8,53,15,31,0,0,0,131,5,23,17.9
Monaco,Thilo Kehrer,de GER,DF,27.0,26.5,1,0,0,23,20,1,2,36,23,0,0,0,132,54,34,61.4
Monaco,Takumi Minamino,jp JPN,MF,29.0,25.0,4,0,0,31,23,10,23,10,19,0,0,0,88,19,30,38.8
Monaco,Lamine Camara,sn SEN,MF,20.0,23.0,10,1,1,45,39,0,118,31,41,0,0,0,153,21,21,50.0
Monaco,Denis Zakaria,ch SUI,MF,27.0,23.9,5,0,0,32,21,1,7,34,26,0,2,0,165,18,12,60.0
Monaco,Wilfried Singo,ci CIV,DF,23.0,23.3,4,0,0,36,34,3,10,43,23,0,0,0,138,51,29,63.8
Monaco,Vanderson,br BRA,DF,23.0,23.1,6,1,1,28,23,1,59,39,48,0,0,0,153,22,25,46.8
Monaco,Caio Henrique Oliveira Silva,br BRA,DF,27.0,21.5,3,0,0,16,20,4,126,22,26,0,0,0,110,13,16,44.8
Monaco,Breel Embolo,ch SUI,FW,27.0,20.6,5,0,0,27,43,11,6,3,17,2,0,0,58,30,30,50.0
Monaco,Eliesse Ben Seghir,ma MAR,MF,19.0,19.6,0,0,0,25,55,2,52,13,22,0,0,0,86,13,22,37.1
Monaco,Philipp Köhn,ch SUI,GK,26.0,19.0,1,0,0,0,1,0,0,0,0,0,0,0,37,3,0,100.0
Monaco,Christian Mawissa,fr FRA,DF,19.0,16.7,3,0,0,19,7,0,3,26,29,0,1,0,70,31,18,63.3
Monaco,Mika Biereth,dk DEN,FW,21.0,13.8,0,0,0,19,30,6,8,4,5,1,0,0,23,18,29,38.3
Monaco,Radosław Majecki,pl POL,GK,24.0,15.0,1,0,0,0,1,0,0,0,0,0,0,0,19,5,0,100.0
Monaco,Aleksandr Golovin,ru RUS,MF,28.0,12.9,1,0,0,25,20,1,23,12,24,0,0,0,101,9,13,40.9
Monaco,Soungoutou Magassa,fr FRA,MF,20.0,11.4,5,1,0,28,20,0,7,21,25,0,0,0,90,13,21,38.2
Monaco,Mohammed Salisu,gh GHA,DF,25.0,11.4,2,0,0,9,3,1,0,16,18,0,0,0,55,35,18,66.0
Monaco,Jordan Teze,nl NED,DF,24.0,6.4,2,1,0,10,3,1,12,6,9,0,0,0,29,7,8,46.7
Monaco,Folarin Balogun,us USA,FW,23.0,6.9,0,0,0,7,9,8,5,1,1,0,0,0,15,4,20,16.7
Monaco,George Ilenikhena,ng NGA,FW,17.0,8.0,0,0,0,14,10,9,0,2,2,0,0,0,10,14,16,46.7
Monaco,Kassoum Ouattara,fr FRA,DF,19.0,4.4,2,0,0,10,2,0,17,5,7,0,0,0,27,4,8,33.3
Monaco,Krépin Diatta,sn SEN,DF,25.0,5.7,3,0,0,14,7,2,15,9,12,0,0,0,36,15,9,62.5
Monaco,Almoatasem Al Musrati,ly LBY,MF,28.0,4.3,0,0,0,5,3,0,0,5,11,0,0,0,19,17,5,77.3
Monaco,Ismail Jakobs,sn SEN,DF,24.0,2.0,0,0,0,1,3,0,14,2,5,0,0,0,5,1,6,14.3
Monaco,Saïmon Bouabré,fr FRA,MF,18.0,1.1,0,0,0,1,2,0,0,0,0,0,0,0,2,0,3,0.0
Monaco,Eliot Matazo,be BEL,MF,22.0,0.8,0,0,0,0,2,0,0,1,2,0,0,0,7,1,0,100.0
Monaco,Lucas Michal,fr FRA,FW,19.0,1.3,0,0,0,5,4,0,2,1,3,0,0,0,4,3,5,37.5
Monaco,Mamadou Coulibaly,fr FRA,MF,20.0,0.1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,
Nice,Marcin Bułka,pl POL,GK,24.0,34.0,0,0,0,0,5,0,0,0,0,0,0,0,62,8,0,100.0
Nice,Evann Guessand,ci CIV,FW,23.0,28.6,2,0,0,45,64,10,36,15,29,1,0,0,98,26,36,41.9
Nice,Hicham Boudaoui,dz ALG,MF,24.0,27.1,9,0,0,41,51,3,17,22,52,1,0,0,175,16,34,32.0
Nice,Jonathan Clauss,fr FRA,DF,31.0,25.7,7,0,0,26,12,1,190,48,35,1,0,0,114,16,11,59.3
Nice,Moïse Bombito,ca CAN,DF,24.0,24.4,3,1,1,28,13,0,2,18,25,0,1,1,97,48,52,48.0
Nice,Melvin Bard,fr FRA,DF,23.0,21.6,4,2,1,17,22,2,60,29,36,0,0,0,124,24,20,54.5
Nice,Youssouf Ndayishimiye,bi BDI,DF,25.0,21.5,5,0,0,19,13,0,2,21,21,1,0,0,114,37,28,56.9
Nice,Dante,br BRA,DF,40.0,21.9,5,1,0,19,14,0,2,34,15,0,0,0,112,41,21,66.1
Nice,Pablo Rosario,nl NED,MF,27.0,19.8,6,1,0,24,10,0,3,31,20,0,0,0,60,24,16,60.0
Nice,Mohamed Ali Cho,fr FRA,FW,20.0,18.2,2,0,0,12,41,9,51,5,9,0,0,0,69,13,27,32.5
Nice,Gaëtan Laborde,fr FRA,FW,30.0,20.5,1,0,0,29,18,8,27,6,13,1,0,0,49,48,47,50.5
Nice,Ali Abdi,tn TUN,DF,30.0,15.6,2,0,0,27,14,5,51,20,25,0,0,0,72,22,14,61.1
Nice,Tanguy Ndombele,fr FRA,MF,27.0,12.7,2,0,0,10,28,0,3,14,23,0,0,0,67,3,10,23.1
Nice,Jeremie Boga,ci CIV,MF,27.0,11.8,0,0,0,1,17,5,21,3,5,0,0,0,44,3,4,42.9
Nice,Badredine Bouanani,dz ALG,MF,19.0,12.3,2,0,0,13,17,2,33,11,4,0,0,0,44,2,16,11.1
Nice,Baptiste Santamaria,fr FRA,MF,29.0,10.4,1,0,0,16,20,0,3,18,10,0,1,0,49,24,13,64.9
Nice,Mohamed Abdelmoneim,eg EGY,DF,25.0,9.5,2,0,0,9,10,0,2,15,14,0,0,0,50,31,19,62.0
Nice,Sofiane Diop,fr FRA,MF,24.0,11.9,3,0,0,17,19,3,33,17,16,0,0,0,73,3,8,27.3
Nice,Antoine Mendy,sn SEN,DF,20.0,9.2,2,0,0,13,9,0,7,8,21,0,0,0,48,17,13,56.7
Nice,Tom Louchet,fr FRA,DF,21.0,8.7,1,0,0,8,9,0,35,18,17,0,0,0,36,11,3,78.6
Nice,Morgan Sanson,fr FRA,MF,29.0,2.6,0,0,0,3,1,0,4,4,3,0,0,0,10,1,2,33.3
Nice,Youssoufa Moukoko,de GER,FW,19.0,2.3,0,0,0,1,4,5,1,0,2,0,0,0,14,2,0,100.0
Nice,Yael Nandjou,fr FRA,DF,19.0,1.7,0,0,0,6,2,0,4,4,1,0,1,0,8,3,1,75.0
Nice,Bilal Brahimi,dz ALG,MF,24.0,0.9,0,0,0,3,0,0,5,0,0,0,0,0,1,0,0,
Nice,Terem Moffi,ng NGA,FW,25.0,0.6,0,0,0,1,0,1,0,0,0,0,0,0,1,3,1,75.0
Nice,Amidou Doumbouya,fr FRA,DF,16.0,0.5,0,0,0,0,0,0,2,1,1,0,0,0,6,0,0,
Nice,Victor Orakpo,ng NGA,FW,18.0,0.4,0,0,0,0,2,1,0,0,0,0,0,0,3,1,4,20.0
Nice,Jordan Lotomba,ch SUI,MF,25.0,0.4,0,0,0,2,0,1,2,0,0,0,0,0,2,0,0,
Nice,Issiaga Camara,gn GUI,MF,19.0,0.2,0,0,0,0,2,0,0,3,1,0,0,0,4,0,1,0.0
Nice,Rareş Ilie,ro ROU,MF,21.0,0.1,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,
Nice,Bernard Nguene,cm CMR,FW,17.0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0
Lille,Lucas Chevalier,fr FRA,GK,22.0,34.0,0,0,0,0,7,0,0,0,2,0,0,0,70,6,0,100.0
Lille,Bafodé Diakité,fr FRA,DF,23.0,30.7,8,1,1,44,17,1,4,27,18,0,1,0,139,61,23,72.6
Lille,Alexsandro Ribeiro,br BRA,DF,24.0,30.0,10,0,0,28,32,2,8,27,19,0,1,1,175,64,25,71.9
Lille,Benjamin André,fr FRA,MF,33.0,29.9,12,0,0,50,49,3,16,48,57,1,0,0,189,94,82,53.4
Lille,Jonathan David,ca CAN,FW,24.0,28.5,4,0,0,25,36,10,4,7,8,1,0,0,66,16,42,27.6
Lille,Thomas Meunier,be BEL,DF,32.0,21.5,5,0,0,27,3,3,62,34,38,0,1,0,88,33,19,63.5
Lille,Hákon Arnar Haraldsson,is ISL,MF,21.0,19.7,3,0,0,19,27,3,59,8,16,1,0,0,71,2,14,12.5
Lille,Gabriel Gudmundsson,se SWE,DF,25.0,20.0,3,0,0,30,42,5,59,17,25,0,0,0,83,12,8,60.0
Lille,Aïssa Mandi,dz ALG,DF,32.0,19.3,3,0,0,7,9,1,10,15,17,0,0,0,67,14,22,38.9
Lille,André Gomes,pt POR,MF,31.0,14.3,3,0,0,24,12,0,11,6,13,0,0,0,92,9,7,56.3
Lille,Ngal'Ayel Mukau,cd COD,MF,19.0,13.3,4,0,0,19,15,0,5,15,18,0,0,0,63,14,14,50.0
Lille,Mitchel Bakker,nl NED,"FW,DF",24.0,12.7,3,1,0,18,9,4,68,12,13,0,0,0,46,3,10,23.1
Lille,Matias Fernandez-Pardo,be BEL,FW,19.0,11.9,4,0,0,18,21,3,30,3,9,1,0,0,35,0,11,0.0
Lille,Rémy Cabella,fr FRA,FW,34.0,11.3,1,0,0,16,19,2,60,8,19,1,1,0,63,3,8,27.3
Lille,Edon Zhegrova,xk KVX,FW,25.0,10.9,1,0,0,10,11,5,58,4,2,0,0,0,42,3,2,60.0
Lille,Ayyoub Bouaddi,fr FRA,MF,16.0,12.9,2,0,0,18,9,0,3,10,31,0,0,0,62,9,9,50.0
Lille,Osame Sahraoui,ma MAR,FW,23.0,14.5,1,0,0,8,12,1,12,7,9,0,0,0,58,0,8,0.0
Lille,Ismaily,br BRA,DF,34.0,10.1,4,0,0,13,6,0,16,13,17,0,0,0,46,12,15,44.4
Lille,Angel Gomes,eng ENG,MF,23.0,8.2,1,0,0,4,11,0,10,0,6,1,0,0,20,5,6,45.5
Lille,Chuba Akpom,eng ENG,FW,28.0,7.2,0,0,0,11,15,2,1,0,5,1,0,0,11,17,11,60.7
Lille,Tiago Santos,pt POR,DF,22.0,4.5,1,0,0,6,10,2,19,2,7,1,0,0,15,6,4,60.0
Lille,Mohamed Lamine Bayo,gn GUI,FW,26.0,3.5,1,0,0,6,2,0,0,0,1,0,0,0,5,4,4,50.0
Lille,Nabil Bentaleb,dz ALG,MF,29.0,3.7,0,0,0,3,1,0,6,5,3,0,0,0,20,3,3,50.0
Lille,Ethan Mbappé,fr FRA,MF,17.0,2.5,3,0,0,5,1,1,14,1,2,0,0,0,8,1,2,33.3
Lille,Younes Lachaab,fr FRA,MF,19.0,0.1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0.0
Lille,Ousmane Toure,fr FRA,DF,19.0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,100.0
Lille,Aaron Malouda,fr FRA,FW,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lyon,Lucas Perri,br BRA,GK,26.0,33.0,1,0,0,1,4,0,0,0,1,0,0,0,29,12,0,100.0
Lyon,Moussa Niakhate,sn SEN,DF,28.0,30.3,2,0,0,34,16,1,5,25,27,0,0,0,119,43,24,64.2
Lyon,Clinton Mata,ao ANG,DF,31.0,26.4,6,0,0,27,34,1,38,46,29,0,0,0,129,21,17,55.3
Lyon,Corentin Tolisso,fr FRA,MF,29.0,26.0,4,0,0,44,50,8,32,22,25,0,1,0,128,54,58,48.2
Lyon,Nemanja Matić,rs SRB,MF,35.0,22.5,1,0,0,13,7,0,9,18,29,0,0,0,125,15,13,53.6
Lyon,Alexandre Lacazette,fr FRA,FW,33.0,23.0,5,0,0,48,33,20,17,8,6,0,1,0,28,16,32,33.3
Lyon,Rayan Cherki,fr FRA,FW,20.0,22.8,3,0,0,16,34,3,118,7,12,0,0,0,83,4,8,33.3
Lyon,Nicolás Tagliafico,ar ARG,DF,31.0,21.2,7,0,0,41,27,1,37,36,37,2,0,0,102,25,26,49.0
Lyon,Ainsley Maitland-Niles,eng ENG,DF,26.0,22.1,1,0,0,16,10,3,48,25,44,0,0,0,89,15,14,51.7
Lyon,Jordan Veretout,fr FRA,MF,31.0,17.4,3,0,0,23,11,0,26,5,14,0,0,0,88,12,15,44.4
Lyon,Duje Ćaleta-Car,hr CRO,DF,27.0,17.6,8,0,0,27,9,2,1,17,12,0,0,0,65,39,12,76.5
Lyon,Malick Fofana,be BEL,FW,19.0,17.8,2,0,0,13,36,10,70,8,11,1,0,0,63,2,12,14.3
Lyon,Georges Mikautadze,ge GEO,FW,23.0,16.2,2,0,0,7,23,3,9,4,6,2,0,0,44,15,40,27.3
Lyon,Tanner Tessmann,us USA,MF,22.0,13.8,3,0,0,14,14,0,14,19,15,0,0,0,63,4,19,17.4
Lyon,Ernest Nuamah,gh GHA,FW,20.0,11.8,2,0,0,18,11,7,30,8,11,0,1,0,60,13,14,48.1
Lyon,Abner,br BRA,DF,24.0,12.2,1,0,0,16,4,0,31,5,20,0,0,0,45,7,9,43.8
Lyon,Sael Kumbedi,fr FRA,DF,19.0,10.6,2,0,0,17,10,0,14,8,14,0,0,0,32,3,7,30.0
Lyon,Thiago Almada,ar ARG,MF,23.0,10.6,3,0,0,10,8,1,47,7,8,1,0,0,56,1,2,33.3
Lyon,Saïd Benrahma,dz ALG,FW,28.0,8.2,0,0,0,6,6,6,43,3,5,0,0,0,32,0,0,
Lyon,Maxence Caqueret,fr FRA,MF,24.0,6.4,1,0,0,4,6,1,6,7,11,0,0,0,24,1,3,25.0
Lyon,Gift Orban,ng NGA,"FW,DF",22.0,2.1,1,0,0,5,1,4,1,0,0,0,0,0,5,1,4,20.0
Lyon,Rémy Descamps,fr FRA,GK,28.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lyon,Wilfried Zaha,ci CIV,FW,31.0,0.8,0,0,0,2,2,0,0,1,1,0,0,0,2,0,0,
Lyon,Orel Mangala,be BEL,MF,26.0,0.8,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,
Lyon,Mama Samba Baldé,gw GNB,FW,28.0,0.4,0,0,0,1,1,0,0,1,2,0,0,0,1,1,0,100.0
Lyon,Alejandro Rodriguez,pt POR,MF,16.0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0.0
Lyon,Paul Akouokou,ci CIV,MF,26.0,0.2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,
Lyon,Mahamadou Diawara,fr FRA,MF,19.0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,
Lyon,Warmed Omari,km COM,DF,24.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lyon,Téo Barisic,fr FRA,DF,19.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lyon,Adryelson,br BRA,DF,26.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
Strasbourg,Andrey Santos,br BRA,MF,20.0,31.7,8,0,0,29,63,0,0,32,74,1,1,0,188,37,24,60.7
Strasbourg,Đorđe Petrović,rs SRB,GK,24.0,31.0,2,0,0,0,3,0,0,0,1,0,0,0,58,4,0,100.0
Strasbourg,Ismaël Doukouré,fr FRA,DF,21.0,29.4,7,0,0,30,17,0,1,25,22,0,0,1,103,26,16,61.9
Strasbourg,Guela Doué,ci CIV,DF,21.0,30.2,7,0,0,41,19,0,46,34,45,0,1,0,162,58,37,61.1
Strasbourg,Diego Moreira,pt POR,DF,19.0,28.7,4,1,0,26,35,2,93,35,28,0,1,0,139,27,29,48.2
Strasbourg,Dilane Bakwa,fr FRA,MF,21.0,27.9,4,0,0,29,71,5,153,15,14,0,0,0,92,11,8,57.9
Strasbourg,Mamadou Sarr,fr FRA,DF,18.0,26.3,4,0,0,29,11,0,1,25,21,0,1,0,98,30,29,50.8
Strasbourg,Habib Diarra,sn SEN,MF,20.0,26.2,6,0,0,26,52,1,54,13,13,1,0,0,90,12,16,42.9
Strasbourg,Emanuel Emegha,nl NED,FW,21.0,25.6,5,0,0,36,37,27,0,1,6,0,0,0,60,26,39,40.0
Strasbourg,Sebastian Nanasi,se SWE,MF,22.0,23.7,1,0,0,9,17,1,66,7,13,0,0,0,71,3,11,21.4
Strasbourg,Félix Lemaréchal,fr FRA,MF,20.0,19.9,2,0,0,30,12,3,26,14,24,0,0,0,62,14,25,35.9
Strasbourg,Valentín Barco,ar ARG,MF,20.0,13.0,2,0,0,17,29,0,31,13,22,0,1,0,79,7,7,50.0
Strasbourg,Saidou Sow,gn GUI,DF,22.0,11.3,2,0,0,7,5,1,0,15,5,0,1,0,36,16,15,51.6
Strasbourg,Abakar Sylla,ci CIV,DF,21.0,10.6,2,1,0,17,7,0,1,11,15,0,0,1,39,20,15,57.1
Strasbourg,Sekou Mara,fr FRA,FW,22.0,8.6,2,0,0,18,16,3,3,3,6,0,0,0,21,19,23,45.2
Strasbourg,Andrew Omobamidele,ie IRL,DF,22.0,6.0,5,1,1,13,7,0,0,8,4,0,1,0,25,9,3,75.0
Strasbourg,Guimissongui Ouattara,fr FRA,DF,18.0,5.3,1,0,0,7,1,1,3,9,4,0,0,0,26,3,6,33.3
Strasbourg,Samuel Amo-Ameyaw,eng ENG,DF,18.0,3.6,0,0,0,3,5,1,6,3,3,0,0,0,14,0,7,0.0
Strasbourg,Karl-Johan Johnsson,se SWE,GK,34.0,3.0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,100.0
Strasbourg,Caleb Wiley,us USA,DF,19.0,3.0,1,0,0,2,2,0,7,4,0,0,0,0,17,0,4,0.0
Strasbourg,Junior Mwanga,fr FRA,MF,21.0,3.3,0,0,0,6,1,0,0,2,9,0,0,0,16,2,0,100.0
Strasbourg,Marvin Senaya,tg TOG,DF,23.0,2.5,3,0,0,4,4,0,1,7,3,0,1,0,13,3,3,50.0
Strasbourg,Jérémy Sebas,mq MTQ,FW,21.0,2.1,0,0,0,6,2,2,2,0,2,0,0,0,10,3,3,50.0
Strasbourg,Pape Daouda Diongue,sn SEN,MF,nan,0.9,0,0,0,0,0,0,1,3,0,0,0,0,9,4,0,100.0
Strasbourg,Eduard Sobol,ua UKR,DF,29.0,1.1,2,0,0,4,1,0,1,2,0,0,0,0,4,3,3,50.0
Strasbourg,Óscar Perea,co COL,MF,18.0,0.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
Strasbourg,Milos Lukovic,rs SRB,FW,18.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Strasbourg,Nordine Kandil,fr FRA,MF,22.0,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,50.0
Strasbourg,Thomas Delaine,fr FRA,DF,32.0,0.1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,
Strasbourg,Karol Fila,pl POL,MF,26.0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Lens,Adrien Thomasson,fr FRA,MF,30.0,29.2,7,0,0,51,48,7,58,19,47,0,1,0,206,17,45,27.4
Lens,Facundo Medina,ar ARG,DF,25.0,28.3,15,1,1,29,22,0,16,32,29,0,1,0,165,30,24,55.6
Lens,Andy Diouf,fr FRA,MF,21.0,24.9,2,0,0,43,21,2,30,15,26,0,1,0,154,18,31,36.7
Lens,Jonathan Gradit,fr FRA,DF,31.0,23.5,4,0,0,29,16,0,10,25,23,0,0,0,73,64,44,59.3
