Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1
Lens,Brice Samba,fr FRA,GK,30.0,15,15,1350.0,15.0,14,0.93,54,40,81.5,6,6,3,7,46.7,4,4,0,0,0.0
Lens,Mathew Ryan,au AUS,GK,32.0,14,14,1260.0,14.0,17,1.21,62,44,75.8,8,1,5,6,42.9,3,2,1,0,33.3
Lens,Hervé Koffi,bf BFA,GK,27.0,5,5,450.0,5.0,8,1.6,26,18,76.9,1,0,4,0,0.0,2,2,0,0,0.0
Brest,Marco Bizot,nl NED,GK,33.0,32,32,2880.0,32.0,54,1.69,128,74,64.1,14,5,13,10,31.3,10,8,1,1,11.1
Brest,Grégoire Coudert,fr FRA,GK,25.0,2,2,180.0,2.0,5,2.5,13,9,61.5,1,0,1,0,0.0,0,0,0,0,
Toulouse,Guillaume Restes,fr FRA,GK,19.0,27,27,2430.0,28.3,36,1.33,92,58,62.0,9,7,13,8,29.6,2,1,1,0,50.0
Toulouse,Kjetil Haug,no NOR,GK,26.0,5,5,450.0,5.5,7,1.4,16,9,56.3,2,2,1,1,20.0,0,0,0,0,
Toulouse,Álex Domínguez,es ESP,GK,26.0,0,0,,0.2,0,,0,0,,0,0,0,1,,0,0,0,0,
Auxerre,Donovan Léon,gf GUF,GK,31.0,32,32,2880.0,32.0,48,1.5,164,118,73.8,11,8,13,9,28.1,6,5,1,0,16.7
Auxerre,Théo De Percin,mq MTQ,GK,23.0,2,2,180.0,2.0,3,1.5,9,5,77.8,0,1,1,1,50.0,2,1,1,0,50.0
Rennes,Brice Samba,fr FRA,GK,30.0,17,17,1530.0,17.0,27,1.59,87,58,70.1,7,0,10,5,29.4,3,1,2,0,66.7
Rennes,Steve Mandanda,fr FRA,GK,39.0,17,17,1485.0,16.5,23,1.39,51,29,58.8,6,2,9,6,35.3,3,2,1,0,33.3
Rennes,Gauthier Gallon,fr FRA,GK,31.0,1,0,45.0,0.5,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
Nantes,Anthony Lopes,pt POR,GK,33.0,17,17,1530.0,17.4,26,1.53,71,46,69.0,5,6,7,3,17.6,5,4,0,1,0.0
Nantes,Alban Lafont,fr FRA,GK,25.0,12,12,1080.0,12.0,19,1.58,49,32,67.3,2,4,6,2,16.7,3,3,0,0,0.0
Nantes,Patrik Carlgren,se SWE,GK,32.0,4,4,360.0,4.6,7,1.75,28,21,75.0,1,2,1,1,25.0,0,0,0,0,
Angers,Yahia Fofana,ci CIV,GK,23.0,33,33,2970.0,33.0,51,1.55,186,135,74.2,10,6,17,7,21.2,4,3,0,1,0.0
Angers,Melvin Zinga,fr FRA,GK,22.0,1,1,90.0,1.0,2,2.0,4,2,75.0,0,0,1,0,0.0,1,1,0,0,0.0
Le Havre,Arthur Desmas,fr FRA,GK,30.0,18,18,1620.0,18.0,38,2.11,93,54,61.3,5,0,13,3,16.7,3,2,1,0,33.3
Le Havre,Mathieu Gorgelin,fr FRA,GK,33.0,16,16,1440.0,16.0,33,2.06,82,50,63.4,5,4,7,1,6.3,3,3,0,0,0.0
Reims,Yehvann Diouf,fr FRA,GK,24.0,34,34,3060.0,34.0,47,1.38,179,131,76.0,8,9,17,7,20.6,5,4,1,0,20.0
Saint Etienne,Gautier Larsonneur,fr FRA,GK,27.0,34,34,3060.0,34.0,77,2.26,209,132,69.4,8,6,20,5,14.7,15,13,2,0,13.3
Montpellier,Benjamin Lecomte,fr FRA,GK,33.0,30,30,2700.0,30.0,68,2.27,173,107,64.2,3,4,23,1,3.3,7,6,1,0,14.3
Montpellier,Dimitry Bertaud,cd COD,GK,26.0,4,4,360.0,4.0,11,2.75,21,10,57.1,1,0,3,0,0.0,2,2,0,0,0.0
Napoli,Alex Meret,it ITA,GK,27.0,33,33,2970.0,33.4,25,0.76,84,59,71.4,21,9,4,16,48.5,4,1,2,1,66.7
Napoli,Elia Caprile,it ITA,GK,22.0,3,3,270.0,3.6,1,0.33,8,7,87.5,3,0,0,3,100.0,0,0,0,0,
Napoli,Simone Scuffet,it ITA,GK,28.0,1,1,90.0,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,
Internazionale,Yann Sommer,ch SUI,GK,35.0,33,33,2970.0,33.0,32,0.97,116,84,75.0,20,8,5,13,39.4,4,3,1,0,25.0
Internazionale,Josep Martinez,es ESP,GK,26.0,5,5,450.0,5.0,3,0.6,14,11,78.6,4,1,0,3,60.0,0,0,0,0,
Atalanta,Marco Carnesecchi,it ITA,GK,24.0,34,34,3060.0,34.0,34,1.0,129,97,75.2,19,7,8,13,38.2,2,2,0,0,0.0
Atalanta,Rui Patrício,pt POR,GK,36.0,3,3,270.0,3.0,3,1.0,14,11,78.6,2,1,0,1,33.3,0,0,0,0,
Atalanta,Juan Musso,ar ARG,GK,30.0,1,1,90.0,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
Juventus,Michele Di Gregorio,it ITA,GK,27.0,33,33,2970.0,33.0,32,0.97,103,71,73.8,16,13,4,14,42.4,5,5,0,0,0.0
Juventus,Mattia Perin,it ITA,GK,31.0,5,5,450.0,5.0,3,0.6,16,13,81.3,2,3,0,3,60.0,0,0,0,0,
Roma,Mile Svilar,rs SRB,GK,24.0,38,38,3420.0,38.0,35,0.92,151,117,79.5,20,9,9,16,42.1,4,4,0,0,0.0
Fiorentina,David de Gea,es ESP,GK,33.0,35,35,3150.0,35.0,38,1.09,135,96,72.6,19,5,11,11,31.4,3,1,2,0,66.7
Fiorentina,Pietro Terracciano,it ITA,GK,34.0,3,3,270.0,3.0,3,1.0,13,10,76.9,0,3,0,1,33.3,0,0,0,0,
Lazio,Ivan Provedel,it ITA,GK,30.0,29,29,2610.0,29.0,42,1.45,92,52,58.7,15,6,8,5,17.2,4,4,0,0,0.0
Lazio,Christos Mandas,gr GRE,GK,22.0,9,9,810.0,9.0,7,0.78,27,20,74.1,3,5,1,4,44.4,0,0,0,0,
Milan,Mike Maignan,fr FRA,GK,29.0,36,36,3240.0,36.6,41,1.14,136,97,70.6,17,9,11,12,33.3,2,1,1,0,50.0
Milan,Marco Sportiello,it ITA,GK,32.0,1,1,90.0,1.4,2,2.0,6,4,66.7,1,0,0,1,100.0,0,0,0,0,
Bologna,Łukasz Skorupski,pl POL,GK,33.0,26,26,2340.0,26.3,33,1.27,82,50,61.0,11,12,4,8,30.8,2,1,1,0,50.0
Bologna,Federico Ravaglia,it ITA,GK,24.0,11,11,990.0,11.7,14,1.27,24,10,45.8,5,2,4,4,36.4,1,1,0,0,0.0
Como,Jean Butez,fr FRA,GK,29.0,19,18,1666.0,18.5,20,1.08,68,48,73.5,8,4,6,5,27.8,2,2,0,0,0.0
Como,Pepe Reina,es ESP,GK,41.0,12,12,1034.0,11.5,14,1.22,41,27,68.3,3,4,5,2,16.7,1,1,0,0,0.0
Como,Emil Audero,id IDN,GK,27.0,8,8,720.0,8.0,18,2.25,34,16,58.8,2,2,4,0,0.0,4,4,0,0,0.0
Torino,Vanja Milinković-Savić,rs SRB,GK,27.0,37,37,3330.0,37.0,42,1.14,173,129,77.5,10,14,13,10,27.0,7,3,4,0,57.1
Torino,Alberto Paleari,it ITA,GK,31.0,1,1,90.0,1.0,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,
Udinese,Maduka Okoye,ng NGA,GK,24.0,25,25,2250.0,25.0,40,1.6,110,73,67.3,6,4,15,4,16.0,5,4,0,1,0.0
Udinese,Razvan Sava,ro ROU,GK,22.0,12,12,1080.0,12.0,16,1.33,51,37,74.5,5,4,3,4,33.3,3,3,0,0,0.0
Udinese,Daniele Padelli,it ITA,GK,38.0,1,1,90.0,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
Genoa,Nicola Leali,it ITA,GK,31.0,29,29,2610.0,29.0,31,1.07,111,82,74.8,8,10,11,10,34.5,4,3,1,0,25.0
Genoa,Pierluigi Gollini,it ITA,GK,29.0,7,7,630.0,7.0,15,2.14,32,16,62.5,1,2,4,1,14.3,4,3,1,0,25.0
Genoa,Benjamin Siegrist,ch SUI,GK,32.0,1,1,90.0,1.7,2,2.0,12,10,83.3,1,1,0,0,0.0,0,0,0,0,
Genoa,Daniele Sommariva,it ITA,GK,27.0,0,0,,0.3,1,,3,2,66.7,0,0,0,0,,0,0,0,0,
Hellas Verona,Lorenzo Montipò,it ITA,GK,28.0,36,36,3240.0,36.0,64,1.78,161,97,61.5,9,7,20,8,22.2,4,2,1,1,33.3
Hellas Verona,Simone Perilli,it ITA,GK,29.0,2,2,180.0,2.0,2,1.0,11,9,81.8,1,0,1,0,0.0,0,0,0,0,
Cagliari,Elia Caprile,it ITA,GK,22.0,18,18,1620.0,18.0,22,1.22,66,44,68.2,5,4,9,5,27.8,1,1,0,0,0.0
Cagliari,Simone Scuffet,it ITA,GK,28.0,13,13,1170.0,13.0,23,1.77,56,33,67.9,3,3,7,1,7.7,5,5,0,0,0.0
