Team,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Marseille,Pierre Højbjerg,dk DEN,MF,28.0,29.6,2,33,8,24.2,1.11,0.27,0.06,0.25,18.9,7,0,0,3.3,3.3,0.1,-1.3,-1.3
Marseille,Luis Henrique,br BRA,DF,22.0,29.2,7,30,14,46.7,1.03,0.48,0.23,0.5,14.6,0,0,0,4.2,4.2,0.14,2.8,2.8
Marseille,Adrien Rabiot,fr FRA,MF,29.0,27.6,9,48,22,45.8,1.74,0.8,0.19,0.41,13.2,0,0,0,7.3,7.3,0.15,1.7,1.7
Marseille,Michael Amir Murillo,pa PAN,DF,28.0,27.1,1,13,4,30.8,0.48,0.15,0.08,0.25,18.8,2,0,0,1.5,1.5,0.12,-0.5,-0.5
Marseille,Leonardo Balerdi,ar ARG,DF,25.0,25.3,0,15,1,6.7,0.59,0.04,0.0,0.0,17.1,0,0,0,0.9,0.9,0.06,-0.9,-0.9
Marseille,Geoffrey Kondogbia,cf CTA,DF,31.0,22.5,0,8,1,12.5,0.36,0.04,0.0,0.0,13.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Marseille,Quentin Merlin,fr FRA,DF,22.0,17.8,1,26,9,34.6,1.46,0.5,0.04,0.11,16.9,0,0,0,2.1,2.1,0.08,-1.1,-1.1
Marseille,Valentin Rongier,fr FRA,MF,29.0,17.5,3,14,7,50.0,0.8,0.4,0.21,0.43,21.6,0,0,0,1.0,1.0,0.07,2.0,2.0
Marseille,Derek Cornelius,ca CAN,DF,26.0,15.8,0,9,1,11.1,0.57,0.06,0.0,0.0,11.8,0,0,0,0.9,0.9,0.1,-0.9,-0.9
Marseille,Neal Maupay,fr FRA,FW,27.0,11.7,4,19,10,52.6,1.63,0.86,0.21,0.4,10.6,0,0,0,4.1,4.1,0.22,-0.1,-0.1
Marseille,Amine Gouiri,dz ALG,FW,24.0,11.7,10,51,24,47.1,4.35,2.05,0.2,0.42,15.2,1,0,0,8.4,8.4,0.17,1.6,1.6
Marseille,Ulisses Garcia,ch SUI,DF,28.0,10.4,2,8,2,25.0,0.77,0.19,0.25,1.0,14.2,0,0,0,1.5,1.5,0.19,0.5,0.5
Marseille,Lilian Brassier,fr FRA,DF,24.0,8.7,0,5,1,20.0,0.58,0.12,0.0,0.0,11.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Marseille,Ismaël Bennacer,dz ALG,MF,26.0,7.3,0,3,0,0.0,0.41,0.0,0.0,,24.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Marseille,Amine Harit,ma MAR,MF,27.0,5.8,2,8,5,62.5,1.37,0.86,0.25,0.4,19.1,1,0,0,0.8,0.8,0.1,1.2,1.2
Marseille,Elye Wahi,fr FRA,FW,21.0,6.4,3,16,9,56.3,2.49,1.4,0.13,0.22,12.1,0,1,1,6.0,5.2,0.33,-3.0,-3.2
Marseille,Jon Rowe,eng ENG,FW,21.0,9.0,3,36,15,41.7,3.99,1.66,0.08,0.2,16.8,0,0,0,3.5,3.5,0.1,-0.5,-0.5
Marseille,Pol Lirola,es ESP,DF,26.0,7.6,1,6,1,16.7,0.79,0.13,0.17,1.0,17.0,0,0,0,0.6,0.6,0.1,0.4,0.4
Marseille,Bilal Nadir,ma MAR,MF,20.0,4.3,1,8,3,37.5,1.87,0.7,0.13,0.33,18.4,1,0,0,0.6,0.6,0.07,0.4,0.4
Marseille,Ismaël Koné,ca CAN,MF,22.0,4.0,0,4,0,0.0,0.99,0.0,0.0,,22.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Marseille,Amar Dedić,ba BIH,DF,21.0,3.5,0,6,2,33.3,1.71,0.57,0.0,0.0,18.3,0,0,0,0.9,0.9,0.15,-0.9,-0.9
Marseille,Luiz Felipe,it ITA,DF,27.0,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Marseille,Valentin Carboni,ar ARG,MF,19.0,1.1,0,2,1,50.0,1.75,0.87,0.0,0.0,21.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Marseille,Robinio Vaz,fr FRA,FW,17.0,0.8,0,2,0,0.0,2.4,0.0,0.0,,9.7,0,0,0,0.5,0.5,0.25,-0.5,-0.5
Marseille,Bamo Meïté,ci CIV,DF,22.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Marseille,Enzo Sternal,fr FRA,FW,17.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Marseille,Darryl Bakola,fr FRA,DF,16.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Marseille,Emmanuel Koum Mbondo,fr FRA,DF,18.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Marseille,Faris Pemi Moumbagna,cm CMR,FW,24.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Marseille,Keyliane Abdallah,fr FRA,FW,18.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Monaco,Maghnes Akliouche,fr FRA,FW,22.0,26.8,5,61,17,27.9,2.28,0.63,0.07,0.24,16.0,2,1,1,9.2,8.4,0.14,-4.2,-4.4
Monaco,Thilo Kehrer,de GER,DF,27.0,26.5,4,12,8,66.7,0.45,0.3,0.33,0.5,8.7,0,0,0,1.5,1.5,0.12,2.5,2.5
Monaco,Takumi Minamino,jp JPN,MF,29.0,25.0,6,57,20,35.1,2.28,0.8,0.11,0.3,14.7,0,0,0,8.9,8.9,0.16,-2.9,-2.9
Monaco,Lamine Camara,sn SEN,MF,20.0,23.0,2,26,9,34.6,1.13,0.39,0.08,0.22,23.2,2,0,0,2.3,2.3,0.09,-0.3,-0.3
Monaco,Denis Zakaria,ch SUI,MF,27.0,23.9,6,29,9,31.0,1.21,0.38,0.14,0.44,18.0,0,2,2,5.2,3.6,0.12,0.8,0.4
Monaco,Wilfried Singo,ci CIV,DF,23.0,23.3,1,17,5,29.4,0.73,0.21,0.06,0.2,10.8,0,0,0,1.9,1.9,0.11,-0.9,-0.9
Monaco,Vanderson,br BRA,DF,23.0,23.1,1,21,8,38.1,0.91,0.35,0.05,0.13,17.7,0,0,0,2.2,2.2,0.11,-1.2,-1.2
Monaco,Caio Henrique Oliveira Silva,br BRA,DF,27.0,21.5,0,4,1,25.0,0.19,0.05,0.0,0.0,22.3,2,0,0,0.2,0.2,0.04,-0.2,-0.2
Monaco,Breel Embolo,ch SUI,FW,27.0,20.6,6,51,18,35.3,2.48,0.87,0.12,0.33,10.8,0,0,0,10.8,10.8,0.21,-4.8,-4.8
Monaco,Eliesse Ben Seghir,ma MAR,MF,19.0,19.6,6,58,19,32.8,2.96,0.97,0.07,0.21,20.9,3,2,2,5.5,4.1,0.07,0.5,-0.1
Monaco,Philipp Köhn,ch SUI,GK,26.0,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
