Team,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Lazio,Boulaye Dia,sn SEN,MF,27.0,24.4,9,39,19,48.7,1.6,0.78,0.23,0.47,13.3,0,0,0,7.1,7.1,0.18,1.9,1.9
Lazio,Adam Marušić,me MNE,DF,31.0,26.0,4,23,10,43.5,0.88,0.38,0.17,0.4,15.4,0,0,0,2.0,2.0,0.09,2.0,2.0
Lazio,Nuno Tavares,pt POR,DF,24.0,18.9,0,28,5,17.9,1.48,0.26,0.0,0.0,24.6,5,0,0,1.1,1.1,0.04,-1.1,-1.1
Lazio,Manuel Lazzari,it ITA,DF,30.0,15.7,0,6,2,33.3,0.38,0.13,0.0,0.0,28.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Lazio,Fisayo Dele-Bashiru,ng NGA,MF,23.0,10.6,3,16,5,31.3,1.51,0.47,0.19,0.6,20.9,0,0,0,1.1,1.1,0.07,1.9,1.9
Lazio,Luca Pellegrini,it ITA,DF,25.0,11.9,0,13,4,30.8,1.09,0.34,0.0,0.0,24.4,1,0,0,0.7,0.7,0.05,-0.7,-0.7
Lazio,Christos Mandas,gr GRE,GK,22.0,9.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lazio,Tijjani Noslin,nl NED,FW,25.0,9.6,2,19,6,31.6,1.98,0.62,0.11,0.33,12.6,0,0,0,2.0,2.0,0.11,0.0,0.0
Lazio,Matías Vecino,uy URU,MF,32.0,9.8,2,16,4,25.0,1.64,0.41,0.13,0.5,11.9,0,0,0,2.3,2.3,0.14,-0.3,-0.3
Lazio,Samuel Gigot,fr FRA,DF,30.0,7.6,2,4,3,75.0,0.52,0.39,0.5,0.67,8.5,0,0,0,1.3,1.3,0.33,0.7,0.7
Lazio,Pedro,es ESP,FW,37.0,12.3,10,37,16,43.2,3.01,1.3,0.22,0.5,19.1,0,2,2,5.3,3.8,0.1,4.7,4.2
Lazio,Loum Tchaouna,fr FRA,FW,20.0,7.4,1,23,8,34.8,3.13,1.09,0.04,0.13,17.8,0,0,0,2.5,2.5,0.11,-1.5,-1.5
Lazio,Patric,es ESP,DF,31.0,6.8,1,2,1,50.0,0.3,0.15,0.5,1.0,5.1,0,0,0,1.1,1.1,0.53,-0.1,-0.1
Lazio,Elseid Hysaj,al ALB,DF,30.0,4.7,0,2,0,0.0,0.42,0.0,0.0,,17.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2
Lazio,Nicolò Casale,it ITA,DF,26.0,1.5,0,1,1,100.0,0.67,0.67,0.0,0.0,11.4,0,0,0,0.0,0.0,0.04,0.0,0.0
Lazio,Reda Belahyane,ma MAR,MF,20.0,2.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lazio,Gaetano Castrovilli,it ITA,MF,27.0,1.7,0,2,0,0.0,1.21,0.0,0.0,,19.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Lazio,Oliver Nielsen,dk DEN,DF,21.0,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Lazio,Arijon Ibrahimović,de GER,MF,18.0,0.1,0,2,0,0.0,22.5,0.0,0.0,,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Milan,Mike Maignan,fr FRA,GK,29.0,36.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Milan,Tijjani Reijnders,nl NED,MF,26.0,34.8,10,77,28,36.4,2.21,0.8,0.13,0.36,20.0,2,0,0,7.5,7.5,0.1,2.5,2.5
Milan,Theo Hernández,fr FRA,DF,26.0,30.0,4,43,14,32.6,1.43,0.47,0.09,0.29,22.4,3,0,1,2.7,1.9,0.04,1.3,2.1
Milan,Youssouf Fofana,fr FRA,MF,25.0,27.9,1,36,5,13.9,1.29,0.18,0.03,0.2,26.2,0,0,0,1.3,1.3,0.04,-0.3,-0.3
Milan,Christian Pulisic,us USA,FW,25.0,27.7,11,53,20,37.7,1.91,0.72,0.15,0.4,16.7,1,3,4,12.0,8.9,0.17,-1.0,-0.9
Milan,Rafael Leão,pt POR,FW,25.0,25.9,8,66,29,43.9,2.54,1.12,0.12,0.28,16.6,0,0,0,7.6,7.6,0.11,0.4,0.4
Milan,Matteo Gabbia,it ITA,DF,24.0,24.0,2,14,4,28.6,0.58,0.17,0.14,0.5,11.3,0,0,0,1.1,1.1,0.08,0.9,0.9
Milan,Strahinja Pavlović,rs SRB,DF,23.0,20.7,2,17,8,47.1,0.82,0.39,0.12,0.25,15.7,1,0,0,1.8,1.8,0.11,0.2,0.2
Milan,Malick Thiaw,de GER,DF,22.0,20.1,0,7,0,0.0,0.35,0.0,0.0,,9.4,0,0,0,0.6,0.6,0.08,-0.6,-0.6
Milan,Fikayo Tomori,eng ENG,DF,26.0,17.7,0,2,0,0.0,0.11,0.0,0.0,,12.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Milan,Yunus Musah,us USA,MF,21.0,17.6,0,22,5,22.7,1.25,0.28,0.0,0.0,19.5,0,0,0,1.9,1.9,0.09,-1.9,-1.9
Milan,Emerson,br BRA,DF,25.0,15.4,0,10,2,20.0,0.65,0.13,0.0,0.0,20.3,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Milan,Alejandro Jiménez,es ESP,DF,19.0,14.2,0,15,5,33.3,1.06,0.35,0.0,0.0,22.1,0,0,0,0.8,0.8,0.06,-0.8,-0.8
Milan,Álvaro Morata,es ESP,FW,31.0,12.3,5,27,10,37.0,2.2,0.81,0.19,0.5,11.3,0,0,0,3.9,3.9,0.15,1.1,1.1
Milan,Tammy Abraham,eng ENG,FW,26.0,13.2,3,26,11,42.3,1.96,0.83,0.08,0.18,13.4,0,1,2,7.1,5.4,0.21,-4.1,-3.4
Milan,Ruben Loftus-Cheek,eng ENG,MF,28.0,11.6,0,9,2,22.2,0.78,0.17,0.0,0.0,16.6,0,0,0,0.7,0.7,0.08,-0.7,-0.7
Milan,Samuel Chukwueze,ng NGA,FW,25.0,10.4,3,32,8,25.0,3.09,0.77,0.09,0.38,19.5,0,0,0,2.7,2.7,0.08,0.3,0.3
Milan,João Félix,pt POR,MF,24.0,8.5,2,29,8,27.6,3.4,0.94,0.07,0.25,17.9,1,0,0,2.7,2.7,0.09,-0.7,-0.7
Milan,Santiago Giménez,mx MEX,FW,23.0,7.5,5,22,9,40.9,2.94,1.2,0.23,0.56,13.5,0,0,1,4.8,4.0,0.18,0.2,1.0
Milan,Kyle Walker,eng ENG,DF,34.0,7.3,0,2,0,0.0,0.27,0.0,0.0,,31.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Milan,Luka Jović,rs SRB,FW,26.0,6.2,2,11,4,36.4,1.76,0.64,0.18,0.5,12.6,0,0,0,2.4,2.4,0.22,-0.4,-0.4
Milan,Filippo Terracciano,it ITA,DF,21.0,6.0,0,3,1,33.3,0.5,0.17,0.0,0.0,20.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Milan,Noah Okafor,ch SUI,FW,24.0,4.6,1,13,7,53.8,2.8,1.51,0.08,0.14,14.8,0,0,0,1.5,1.5,0.12,-0.5,-0.5
Milan,Davide Calabria,it ITA,DF,27.0,3.6,0,2,0,0.0,0.56,0.0,0.0,,16.6,0,0,0,0.3,0.3,0.15,-0.3,-0.3
Milan,Ismaël Bennacer,dz ALG,MF,26.0,3.4,0,3,2,66.7,0.89,0.6,0.0,0.0,31.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Milan,Warren Bondo,fr FRA,MF,20.0,1.8,0,1,1,100.0,0.55,0.55,0.0,0.0,24.6,0,0,0,0.0,0.0,0.03,0.0,0.0
Milan,Francesco Camarda,it ITA,FW,16.0,2.3,0,8,1,12.5,3.48,0.43,0.0,0.0,14.2,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Milan,Marco Sportiello,it ITA,GK,32.0,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Milan,Riccardo Sottil,it ITA,FW,25.0,1.4,0,2,0,0.0,1.46,0.0,0.0,,10.5,0,0,0,0.2,0.2,0.09,-0.2,-0.2
Milan,Davide Bartesaghi,it ITA,DF,18.0,1.3,0,1,1,100.0,0.76,0.76,0.0,0.0,24.6,0,0,0,0.0,0.0,0.01,0.0,0.0
Milan,Alexis Saelemaekers,be BEL,DF,25.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Milan,Mattia Liberali,it ITA,MF,17.0,0.7,0,2,0,0.0,2.9,0.0,0.0,,17.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Milan,Kevin Zeroli,it ITA,MF,19.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Milan,Alessandro Florenzi,it ITA,FW,33.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Milan,Bob Murphy Omoregbe,it ITA,MF,20.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Bologna,Remo Freuler,ch SUI,MF,32.0,35.7,1,17,4,23.5,0.48,0.11,0.06,0.25,20.4,0,0,0,1.3,1.3,0.07,-0.3,-0.3
Bologna,Sam Beukema,nl NED,DF,25.0,33.5,0,15,4,26.7,0.45,0.12,0.0,0.0,10.6,0,0,0,1.5,1.5,0.1,-1.5,-1.5
Bologna,Jhon Lucumí,co COL,DF,26.0,29.1,0,13,2,15.4,0.45,0.07,0.0,0.0,11.0,0,0,0,0.6,0.6,0.05,-0.6,-0.6
Bologna,Łukasz Skorupski,pl POL,GK,33.0,26.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Bologna,Santiago Castro,ar ARG,FW,19.0,25.7,8,62,20,32.3,2.42,0.78,0.13,0.4,15.8,0,0,1,7.7,6.9,0.11,0.3,1.1
Bologna,Dan Ndoye,ch SUI,FW,23.0,23.9,8,50,17,34.0,2.09,0.71,0.12,0.35,17.5,0,2,2,7.0,5.4,0.11,1.0,0.6
Bologna,Juan Miranda,es ESP,DF,24.0,25.3,0,22,5,22.7,0.87,0.2,0.0,0.0,26.1,6,0,0,0.7,0.7,0.03,-0.7,-0.7
Bologna,Jens Odgaard,dk DEN,MF,25.0,21.9,6,49,22,44.9,2.24,1.0,0.12,0.27,19.5,1,0,0,3.6,3.6,0.07,2.4,2.4
Bologna,Riccardo Orsolini,it ITA,FW,27.0,21.0,15,72,25,34.7,3.42,1.19,0.17,0.48,17.5,6,3,3,10.1,7.8,0.11,4.9,4.2
Bologna,Benjamín Domínguez,ar ARG,FW,20.0,14.4,3,30,17,56.7,2.09,1.18,0.1,0.18,19.2,0,0,0,2.2,2.2,0.07,0.8,0.8
Bologna,Nikola Moro,hr CRO,MF,26.0,13.5,0,14,2,14.3,1.03,0.15,0.0,0.0,26.1,1,0,0,0.5,0.5,0.03,-0.5,-0.5
Bologna,Tommaso Pobega,it ITA,MF,25.0,13.1,2,24,8,33.3,1.83,0.61,0.08,0.25,18.8,0,0,0,2.1,2.0,0.08,-0.1,0.0
Bologna,Lorenzo De Silvestri,it ITA,DF,36.0,11.9,1,9,4,44.4,0.76,0.34,0.11,0.25,12.2,0,0,0,0.8,0.8,0.09,0.2,0.2
Bologna,Emil Holm,se SWE,DF,24.0,12.7,1,10,3,30.0,0.79,0.24,0.1,0.33,18.8,0,0,0,0.6,0.6,0.06,0.4,0.4
Bologna,Charalambos Lykogiannis,gr GRE,DF,30.0,11.7,0,6,2,33.3,0.51,0.17,0.0,0.0,21.4,2,0,0,0.2,0.2,0.04,-0.2,-0.2
Bologna,Thijs Dallinga,nl NED,FW,23.0,12.9,3,31,11,35.5,2.4,0.85,0.1,0.27,11.6,0,0,0,4.3,4.3,0.14,-1.3,-1.3
Bologna,Federico Ravaglia,it ITA,GK,24.0,11.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Bologna,Lewis Ferguson,sct SCO,MF,24.0,10.9,1,5,1,20.0,0.46,0.09,0.0,0.0,22.9,0,1,1,1.0,0.2,0.03,0.0,-0.2
Bologna,Giovanni Fabbian,it ITA,MF,21.0,11.4,3,21,5,23.8,1.84,0.44,0.14,0.6,11.8,0,0,0,2.3,2.3,0.11,0.7,0.7
Bologna,Nicolò Casale,it ITA,DF,26.0,10.0,0,4,1,25.0,0.4,0.1,0.0,0.0,9.7,0,0,0,0.5,0.5,0.12,-0.5,-0.5
Bologna,Michel Aebischer,ch SUI,MF,27.0,8.1,0,10,5,50.0,1.24,0.62,0.0,0.0,22.0,1,0,0,0.4,0.4,0.04,-0.4,-0.4
Bologna,Stefan Posch,at AUT,DF,27.0,7.9,0,2,0,0.0,0.25,0.0,0.0,,20.5,0,0,0,0.3,0.3,0.14,-0.3,-0.3
Bologna,Davide Calabria,it ITA,DF,27.0,7.0,0,3,0,0.0,0.43,0.0,0.0,,28.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Bologna,Martin Erlic,hr CRO,DF,26.0,3.7,0,6,0,0.0,1.6,0.0,0.0,,14.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Bologna,Nicolò Cambiaghi,it ITA,FW,23.0,6.9,1,14,4,28.6,2.02,0.58,0.07,0.25,17.1,0,0,0,0.8,0.8,0.06,0.2,0.2
Bologna,Jesper Karlsson,se SWE,FW,26.0,3.3,1,6,2,33.3,1.8,0.6,0.17,0.5,20.3,1,0,0,0.7,0.7,0.12,0.3,0.3
Bologna,Kacper Urbanski,pl POL,MF,19.0,2.8,1,4,1,25.0,1.45,0.36,0.25,1.0,15.7,0,0,0,0.3,0.3,0.08,0.7,0.7
Bologna,Samuel Iling-Junior,eng ENG,FW,20.0,1.3,1,4,1,25.0,3.05,0.76,0.25,1.0,19.0,0,0,0,0.1,0.1,0.03,0.9,0.9
Bologna,Oussama El Azzouzi,ma MAR,MF,23.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Bologna,Estanis,es ESP,FW,20.0,0.1,0,2,0,0.0,20.0,0.0,0.0,,22.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Como,Gabriel Strefezza,br BRA,FW,27.0,29.3,6,58,21,36.2,1.98,0.72,0.1,0.29,20.5,2,0,0,3.7,3.7,0.06,2.3,2.3
Como,Nicolás Paz,ar ARG,MF,19.0,30.0,6,109,37,33.9,3.63,1.23,0.06,0.16,20.7,12,0,1,9.3,8.5,0.08,-3.3,-2.5
Como,Lucas Da Cunha,fr FRA,MF,23.0,29.2,3,37,14,37.8,1.27,0.48,0.08,0.21,23.8,3,0,0,2.0,2.0,0.05,1.0,1.0
Como,Marc-Oliver Kempf,de GER,DF,29.0,29.1,0,20,4,20.0,0.69,0.14,0.0,0.0,10.8,0,0,0,1.6,1.6,0.08,-1.6,-1.6
Como,Edoardo Goldaniga,it ITA,DF,30.0,28.1,1,12,5,41.7,0.43,0.18,0.08,0.2,9.3,0,0,0,2.5,2.5,0.21,-1.5,-1.5
Como,Patrick Cutrone,it ITA,FW,26.0,22.9,7,69,26,37.7,3.01,1.13,0.1,0.27,15.9,0,0,1,7.1,6.3,0.09,-0.1,0.7
Como,Alberto Moreno,es ESP,DF,32.0,19.3,0,14,6,42.9,0.72,0.31,0.0,0.0,25.6,0,0,0,0.4,0.4,0.03,-0.4,-0.4
Como,Máximo Perrone,ar ARG,MF,21.0,20.7,0,10,2,20.0,0.48,0.1,0.0,0.0,22.2,0,0,0,0.9,0.9,0.09,-0.9,-0.9
Como,Alberto Dossena,it ITA,DF,25.0,20.3,0,12,3,25.0,0.59,0.15,0.0,0.0,11.3,0,0,0,0.8,0.8,0.07,-0.8,-0.8
Como,Alieu Fadera,gm GAM,"FW,DF",22.0,18.4,1,28,9,32.1,1.52,0.49,0.04,0.11,18.6,0,0,0,1.7,1.7,0.06,-0.7,-0.7
Como,Jean Butez,fr FRA,GK,29.0,18.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Como,Maxence Caqueret,fr FRA,MF,24.0,12.2,2,8,3,37.5,0.65,0.25,0.25,0.67,18.6,0,0,0,0.8,0.8,0.1,1.2,1.2
Como,Ignace Van Der Brempt,be BEL,DF,22.0,14.0,0,7,3,42.9,0.5,0.21,0.0,0.0,11.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Como,Assane Diao,sn SEN,FW,18.0,14.0,8,28,13,46.4,2.0,0.93,0.29,0.62,15.5,0,0,0,4.0,4.0,0.14,4.0,4.0
Como,Álex Valle,es ESP,DF,20.0,11.5,0,9,1,11.1,0.78,0.09,0.0,0.0,22.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Como,Pepe Reina,es ESP,GK,41.0,11.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Como,Yannik Engelhardt,de GER,MF,23.0,13.0,1,8,2,25.0,0.62,0.15,0.13,0.5,13.7,0,0,0,0.6,0.6,0.07,0.4,0.4
Como,Emil Audero,id IDN,GK,27.0,8.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Como,Mërgim Vojvoda,xk KVX,DF,29.0,8.0,1,4,1,25.0,0.5,0.12,0.25,1.0,18.5,0,0,0,0.2,0.2,0.06,0.8,0.8
Como,Sergi Roberto,es ESP,MF,32.0,7.8,0,6,1,16.7,0.77,0.13,0.0,0.0,23.5,0,0,0,0.7,0.7,0.11,-0.7,-0.7
Como,Ivan Smolčić,hr CRO,DF,23.0,7.0,0,7,3,42.9,1.0,0.43,0.0,0.0,11.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Como,Andrea Belotti,it ITA,FW,30.0,6.7,2,19,3,15.8,2.85,0.45,0.11,0.67,12.7,0,0,0,2.5,2.5,0.13,-0.5,-0.5
Como,Anastasios Douvikas,gr GRE,FW,24.0,6.5,2,14,5,35.7,2.16,0.77,0.14,0.4,12.4,0,0,0,2.5,2.5,0.18,-0.5,-0.5
Como,Jonathan Ikone,fr FRA,FW,26.0,6.1,2,16,5,31.3,2.64,0.83,0.13,0.4,13.0,0,0,0,1.8,1.8,0.11,0.2,0.2
Como,Federico Barba,it ITA,DF,30.0,4.8,0,2,1,50.0,0.42,0.21,0.0,0.0,8.9,0,0,0,0.2,0.2,0.1,-0.2,-0.2
Como,Alessio Iovine,it ITA,DF,33.0,4.3,0,1,0,0.0,0.23,0.0,0.0,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0
Como,Luca Mazzitelli,it ITA,MF,28.0,3.8,1,7,3,42.9,1.86,0.8,0.14,0.33,17.5,0,0,0,0.2,0.2,0.03,0.8,0.8
Como,Matthias Braunöder,at AUT,MF,22.0,3.0,0,2,0,0.0,0.67,0.0,0.0,,24.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Como,Marco Sala,it ITA,DF,25.0,2.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Como,Fellipe Jack,br BRA,DF,18.0,1.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Como,Daniele Baselli,it ITA,MF,32.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Como,Alessandro Gabrielloni,it ITA,FW,30.0,1.6,1,5,2,40.0,3.17,1.27,0.2,0.5,17.7,0,0,0,0.3,0.3,0.06,0.7,0.7
Como,Simone Verdi,it ITA,MF,32.0,1.3,0,2,2,100.0,1.57,1.57,0.0,0.0,26.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Como,Alberto Cerri,it ITA,FW,28.0,1.0,0,4,1,25.0,4.14,1.03,0.0,0.0,11.2,0,0,0,1.0,1.0,0.25,-1.0,-1.0
Como,Ben Lhassine Kone,ci CIV,MF,24.0,0.6,0,1,0,0.0,1.76,0.0,0.0,,34.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Como,Ali Jasim,iq IRQ,"FW,DF",20.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Como,Dele Alli,eng ENG,MF,28.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Como,Oliver Abildgaard,dk DEN,MF,28.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Torino,Vanja Milinković-Savić,rs SRB,GK,27.0,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Torino,Samuele Ricci,it ITA,MF,22.0,31.5,1,22,7,31.8,0.7,0.22,0.05,0.14,25.3,0,0,0,1.3,1.3,0.06,-0.3,-0.3
Torino,Saúl Coco,gq EQG,DF,25.0,31.6,2,20,5,25.0,0.63,0.16,0.1,0.4,18.7,3,0,0,1.2,1.2,0.06,0.8,0.8
Torino,Che Adams,sct SCO,FW,28.0,29.6,9,63,25,39.7,2.13,0.85,0.14,0.36,15.7,0,0,1,9.0,8.2,0.13,0.0,0.8
Torino,Guillermo Maripán,cl CHI,DF,30.0,26.0,1,12,5,41.7,0.46,0.19,0.08,0.2,12.8,0,0,0,0.9,0.9,0.08,0.1,0.1
Torino,Valentino Lazaro,at AUT,DF,28.0,25.8,0,16,2,12.5,0.62,0.08,0.0,0.0,19.5,2,0,0,1.0,1.0,0.06,-1.0,-1.0
Torino,Nikola Vlašić,hr CRO,MF,26.0,23.6,5,30,10,33.3,1.27,0.42,0.1,0.3,22.2,0,2,2,3.4,1.8,0.06,1.6,1.2
Torino,Adam Masina,ma MAR,DF,30.0,21.4,1,8,2,25.0,0.37,0.09,0.13,0.5,14.6,0,0,0,0.7,0.7,0.09,0.3,0.3
Torino,Sebastian Walukiewicz,pl POL,DF,24.0,18.5,0,6,1,16.7,0.32,0.05,0.0,0.0,20.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Torino,Karol Linetty,pl POL,MF,29.0,17.2,1,17,4,23.5,0.99,0.23,0.06,0.25,20.9,0,0,0,1.1,1.1,0.06,-0.1,-0.1
Torino,Antonio Sanabria,py PAR,FW,28.0,14.7,2,18,4,22.2,1.22,0.27,0.11,0.5,15.1,0,0,1,2.9,2.1,0.12,-0.9,-0.1
Torino,Gvidas Gineitis,lt LTU,MF,20.0,16.0,3,29,8,27.6,1.82,0.5,0.1,0.38,25.5,2,0,0,1.3,1.3,0.04,1.7,1.7
Torino,Marcus Pedersen,no NOR,DF,24.0,15.2,0,8,3,37.5,0.53,0.2,0.0,0.0,17.1,0,0,0,0.6,0.6,0.07,-0.6,-0.6
Torino,Borna Sosa,hr CRO,DF,26.0,13.2,0,4,1,25.0,0.3,0.08,0.0,0.0,20.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3
Torino,Cristiano Biraghi,it ITA,DF,31.0,12.9,0,10,1,10.0,0.78,0.08,0.0,0.0,25.9,3,0,0,0.5,0.5,0.05,-0.5,-0.5
Torino,Cesare Casadei,it ITA,MF,21.0,11.4,1,14,7,50.0,1.23,0.61,0.07,0.14,13.3,0,0,0,1.2,1.2,0.08,-0.2,-0.2
Torino,Mërgim Vojvoda,xk KVX,DF,29.0,12.4,0,5,0,0.0,0.4,0.0,0.0,,20.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Torino,Elif Elmas,mk MKD,FW,24.0,11.4,4,19,9,47.4,1.67,0.79,0.21,0.44,19.3,0,0,0,1.4,1.4,0.07,2.6,2.6
Torino,Yann Karamoh,fr FRA,MF,26.0,11.7,0,25,6,24.0,2.13,0.51,0.0,0.0,17.7,0,0,0,1.2,1.2,0.05,-1.2,-1.2
Torino,Ivan Ilić,rs SRB,MF,23.0,10.3,1,11,4,36.4,1.07,0.39,0.09,0.25,21.9,2,0,0,0.9,0.9,0.09,0.1,0.1
Torino,Adrien Tameze,cm CMR,MF,30.0,7.3,0,7,3,42.9,0.96,0.41,0.0,0.0,15.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Torino,Duván Zapata,co COL,FW,33.0,6.6,3,21,8,38.1,3.2,1.22,0.14,0.38,11.6,0,0,0,3.4,3.4,0.16,-0.4,-0.4
Torino,Ali Dembélé,fr FRA,DF,20.0,4.3,1,5,2,40.0,1.15,0.46,0.2,0.5,13.3,0,0,0,0.4,0.4,0.07,0.6,0.6
Torino,Alberto Paleari,it ITA,GK,31.0,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Torino,Raoul Bellanova,it ITA,DF,24.0,1.0,0,1,0,0.0,1.02,0.0,0.0,,8.4,0,0,0,0.0,0.0,0.03,0.0,0.0
Torino,Eybi Nije,se SWE,FW,19.0,4.4,1,9,5,55.6,2.06,1.14,0.11,0.2,18.9,0,0,0,1.5,1.5,0.17,-0.5,-0.5
Torino,Sergiu Perciun,md MDA,FW,18.0,1.7,0,2,1,50.0,1.18,0.59,0.0,0.0,22.4,0,0,0,0.0,0.0,0.02,0.0,0.0
Torino,Alessio Cacciamani,it ITA,MF,17.0,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Torino,Tommaso Gabellini,it ITA,FW,17.0,0.1,0,1,0,0.0,9.0,0.0,0.0,,28.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Torino,Saba Sazonov,ge GEO,DF,22.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Torino,Aaron Ciammaglichella,it ITA,MF,19.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Udinese,Jesper Karlström,se SWE,MF,29.0,35.5,0,13,2,15.4,0.37,0.06,0.0,0.0,18.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7
Udinese,Jaka Bijol,si SVN,DF,25.0,32.9,1,19,6,31.6,0.58,0.18,0.05,0.17,11.8,0,0,0,2.0,2.0,0.1,-1.0,-1.0
Udinese,Sandi Lovrić,si SVN,MF,26.0,25.9,2,49,12,24.5,1.89,0.46,0.04,0.17,22.5,5,0,0,2.6,2.6,0.05,-0.6,-0.6
Udinese,Kingsley Ehizibue,nl NED,DF,29.0,27.9,0,14,4,28.6,0.5,0.14,0.0,0.0,15.9,0,0,0,1.2,1.2,0.09,-1.2,-1.2
Udinese,Lorenzo Lucca,it ITA,FW,23.0,26.3,12,64,25,39.1,2.43,0.95,0.17,0.44,13.6,0,1,1,7.6,6.8,0.11,4.4,4.2
Udinese,Maduka Okoye,ng NGA,GK,24.0,25.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
Udinese,Hassane Kamara,ci CIV,DF,30.0,22.3,1,17,3,17.6,0.76,0.13,0.06,0.33,20.1,0,0,0,0.9,0.9,0.05,0.1,0.1
Udinese,Florian Thauvin,fr FRA,FW,31.0,21.9,8,51,23,45.1,2.33,1.05,0.14,0.3,18.5,3,1,3,8.1,5.7,0.11,-0.1,1.3
Udinese,Jurgen Ekkelenkamp,nl NED,MF,24.0,21.2,3,27,9,33.3,1.27,0.42,0.11,0.33,18.3,0,0,0,2.8,2.8,0.1,0.2,0.2
Udinese,Thomas Kristensen,dk DEN,DF,22.0,19.5,1,4,1,25.0,0.21,0.05,0.25,1.0,11.0,0,0,0,0.9,0.9,0.23,0.1,0.1
Udinese,Oumar Solet,fr FRA,DF,24.0,18.6,1,12,7,58.3,0.65,0.38,0.08,0.14,21.5,1,0,0,0.8,0.8,0.06,0.2,0.2
